api_request_bytes,attempt,background,background_warnings,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_evidence_warnings,kv_response_bytes,load_warnings,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,workload
769046,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,germany,,0,3057651747,0,,16.661997673,648131,recorded-28-seed-8,isolated_fastest,15.833793142911958,0,0,33.40258152536233,0,8279e933362d6fbc,28,complete,False,agentic_tool_loop
2509192,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,15175012374,0,,40.836880121,648131,recorded-28-seed-8,queue_haul_deadline_blind,54.926477932437265,1,0,33.40258152536233,0,428ba328bca14588,28,complete,True,agentic_tool_loop
1440360,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,8279567282,0,,24.927482379,648131,recorded-28-seed-8,queue_haul,51.06109013793011,1,0,33.40258152536233,0,ea8d74f4e14ed3a3,28,complete,True,agentic_tool_loop
769046,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,germany,,0,3057651747,0,,16.719852429,648131,recorded-28-seed-8,isolated_fastest,15.833793142911958,1,0,33.40258152536233,0,9b0a0902e16e0baa,28,complete,False,agentic_tool_loop
731709,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,0,0,,10.663353291,648131,recorded-28-seed-8,replay_only,29.723151495751523,1,0,33.40258152536233,0,3f38a68eefc49b56,28,complete,False,agentic_tool_loop
1145666,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,4529854440,0,,20.93853402,648131,recorded-28-seed-8,queue_haul_power_blind,20.063891333212382,1,0,33.40258152536233,0,63888a8b3a6c5947,28,complete,False,agentic_tool_loop
1118409,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,2894073670,0,,24.534238867,648131,recorded-28-seed-8,greedy,37.21701472562496,1,0,33.40258152536233,0,afd747ad5223def6,28,complete,True,agentic_tool_loop
604521,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,3586134765,0,,16.431305545,648131,recorded-28-seed-8,kv_only,20.316194099294137,1,0,33.40258152536233,0,b45eee248cceddb8,28,complete,False,agentic_tool_loop
1170674,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,4529854440,0,,22.399907401,648131,recorded-28-seed-8,queue_haul_power_blind,20.063891333212382,2,0,33.40258152536233,0,9fcd6137a4a73a76,28,complete,False,agentic_tool_loop
2504502,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,15175012374,0,,40.532790593,648131,recorded-28-seed-8,queue_haul_deadline_blind,54.926477932437265,2,0,33.40258152536233,0,28979a7c041485c1,28,complete,True,agentic_tool_loop
595143,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,3586134765,0,,15.93638168,648131,recorded-28-seed-8,kv_only,20.316194099294137,2,0,33.40258152536233,0,014482e29506b26e,28,complete,False,agentic_tool_loop
738600,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,2894073670,1,,25.269672199,648131,recorded-28-seed-8,greedy,37.21701472562496,2,0,33.40258152536233,0,6696f1e41c8396db,28,complete,True,agentic_tool_loop
1402848,2,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,8279567282,0,,24.121862113,648131,recorded-28-seed-8,queue_haul,51.06109013793011,2,0,33.40258152536233,0,0284928eeca4fcb4,28,complete,True,agentic_tool_loop
772172,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,germany,,0,3057651747,0,,18.291275561,648131,recorded-28-seed-8,isolated_fastest,15.833793142911958,2,0,33.40258152536233,0,4cbeb4c4a04331ea,28,complete,False,agentic_tool_loop
711390,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,0,0,,10.60053719,648131,recorded-28-seed-8,replay_only,29.723151495751523,2,0,33.40258152536233,0,f5913a0739fd8713,28,complete,False,agentic_tool_loop
