episode,workload,seed,rate,cohort,window_start_s,window_end_s,control_admitted_at_window_start,replay_admitted_at_window_start,equivalent_full_incoming_population,replay_arrival_ttft_p90_s,control_arrival_ttft_p90_s,replay_request_tpot_p90_s,control_request_tpot_p90_s,replay_outstanding,control_outstanding,completion_deficit_requests,replay_completed_rps,control_completed_rps,replay_screen_pass,control_screen_pass,replay_exact_coverage,control_exact_coverage,replay_completed_n,control_completed_n
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,resident,120,150,8,8,True,0.1315433475,0.12810229350000002,0.03380533863020668,0.03355947931955485,1,1,0,0.2,0.2,False,False,1.0,1.0,6,6
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,resident,150,180,8,8,True,0.166806988,0.16589450579999998,0.03431547174218363,0.03460383267022332,0,0,0,0.13333333333333333,0.13333333333333333,True,True,1.0,1.0,3,3
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,resident,60,180,0,0,False,14.6823842286,0.17045572679999998,0.03923759416757741,0.03495205196567851,0,0,0,0.2,0.2,False,True,1.0,1.0,24,24
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,incoming,0,60,0,0,False,,,,,0,0,0,0.0,0.0,False,False,0.0,0.0,0,0
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,incoming,60,90,0,0,False,22.655256113500002,0.1340541212,0.038606352325791855,0.03489617527058824,2,0,2,0.2,0.26666666666666666,False,True,1.0,1.0,6,8
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,incoming,90,120,8,8,True,0.1351149035,0.14292709139999998,0.035049914692320674,0.035434780774683546,0,0,0,0.3333333333333333,0.26666666666666666,True,True,1.0,1.0,8,8
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,incoming,120,150,8,8,True,0.14817699,0.143623954,0.03508168848026316,0.034531898955482455,2,2,0,0.36666666666666664,0.36666666666666664,False,False,1.0,1.0,11,11
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,incoming,150,180,8,8,True,0.1200336153,0.1323548126,0.03449675817147609,0.03521363883977131,0,0,0,0.3333333333333333,0.3333333333333333,True,True,1.0,1.0,8,8
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,incoming,60,180,0,0,False,19.476735550399997,0.1400182072,0.03571994027536765,0.03524949668527738,0,0,0,0.30833333333333335,0.30833333333333335,False,True,1.0,1.0,37,37
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,resident,0,60,0,0,False,0.1728358172,0.17167545260000003,0.03464102595859112,0.03486394247785528,1,1,0,0.36666666666666664,0.36666666666666664,False,False,1.0,1.0,22,22
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,resident,60,90,0,0,False,24.4328277006,0.1666248529,0.04803141262923977,0.034579274848304385,1,0,1,0.26666666666666666,0.3,False,True,1.0,1.0,7,8
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,resident,90,120,8,8,True,0.15680121860000001,0.1524058007,0.03457297921518988,0.035647884048039216,2,2,0,0.43333333333333335,0.4,False,False,1.0,1.0,12,12
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,resident,120,150,8,8,True,0.1567742493,0.1679136531,0.03365254034092742,0.03359176358810484,1,1,0,0.3333333333333333,0.3333333333333333,False,False,1.0,1.0,8,8
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,resident,150,180,8,8,True,0.18235744950000002,0.1825671803,0.033445072845945084,0.03383090143566411,1,1,0,0.43333333333333335,0.43333333333333335,False,False,1.0,1.0,12,12
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,resident,60,180,0,0,False,9.433706223000014,0.16830653580000007,0.037012982313097714,0.035436499909331766,1,1,0,0.36666666666666664,0.36666666666666664,False,False,1.0,1.0,43,43
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,incoming,0,60,0,0,False,,,,,0,0,0,0.0,0.0,False,False,0.0,0.0,0,0
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,incoming,60,90,0,0,False,27.312994887000002,0.1764964368,0.03685137504615384,0.03650412994379085,3,0,3,0.2,0.3,False,True,1.0,1.0,6,9
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,incoming,90,120,8,8,True,0.140362684,0.132854821,0.03569179940842106,0.035793927201518985,0,0,0,0.4666666666666667,0.36666666666666664,True,True,1.0,1.0,11,11
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,incoming,120,150,8,8,True,0.1535866988,0.1491483219,0.0349016724811545,0.03426050149824561,0,0,0,0.26666666666666666,0.26666666666666666,True,True,1.0,1.0,8,8
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,incoming,150,180,8,8,True,0.1266768416,0.1334260736,0.03511707205098039,0.03557956741724138,0,0,0,0.26666666666666666,0.26666666666666666,True,True,1.0,1.0,8,8
episodes-coding_long-1-replay-7101,coding_long,7101,0.3763566558427036,incoming,60,180,0,0,False,18.595908131999998,0.1546585435,0.03726345681,0.036261653309411765,0,0,0,0.3,0.3,False,True,1.0,1.0,36,36
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,resident,0,60,0,0,False,0.1690863337,0.18282430600000002,0.034133446234567905,0.03434995283950617,1,1,0,0.36666666666666664,0.36666666666666664,False,False,1.0,1.0,22,22
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,resident,60,90,0,0,False,24.326703380399998,0.17111860410000002,0.05052896047615262,0.03474199459251012,2,0,2,0.3,0.36666666666666664,False,True,1.0,1.0,8,10
