policy,retained_prefill_fraction,deadline_scale,status,safe,rounded_retained_prefill_moved_s,rounded_retained_prefill_target_s,rounded_retained_prefill_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,drain_window_s,retained_prefill_removal_rate_s_per_s,drain_completion_s,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,repair_move_count,repair_move_summary
repaired-CVXPY-rounded,0.3,0.25,OK,True,248.21204819277108,248.21204819277105,1.0000000000000002,0.37814693297315166,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.13789558232931726,1787.1907446063976,0.008392821473124415,0.014603870025556772,0.6023609816713269,0.3976390183286731,4,class0:k0/replay->k2/replay x1; class0:k1/replay->k2/replay x1; class0:k2/state->k2/replay x1; class1:k1/replay->k0/replay x1
deadline-aware-m0.8-rounded,0.3,0.25,OK,True,248.24674698795184,248.21204819277105,1.0001397949673814,1.6314890829006066,0.09441805128204805,9.25608707314106,21.907407773377773,0.28570902317948726,0.0,1800.0,0.13791485943775103,1808.4663247863248,0.026580113698765433,0.01992600705853718,0.4436006150118809,0.556399384988119,0,
deadline-aware-m1.0-rounded,0.3,0.25,OK,True,248.24674698795184,248.21204819277105,1.0001397949673814,1.9362494289238732,0.14162707692307208,13.800034188034191,21.9594753759589,0.2920945401122729,0.0,1800.0,0.13791485943775103,1803.5017857792325,0.03328422779259259,0.019832542290373616,0.48741244622528695,0.5125875537747131,0,
mirror-descent-rounded,0.3,0.25,OK,True,255.32530120481925,248.21204819277105,1.0286579683131407,0.3857218414893531,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.14184738955823292,1786.2615410665746,0.008392715669515678,0.01582085919435317,0.6134390335975844,0.3865609664024156,0,
crossover-greedy,0.3,0.25,OK,True,255.32530120481925,248.21204819277105,1.0286579683131407,0.3857218414893531,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.14184738955823292,1786.2615410665746,0.008392715669515678,0.01582085919435317,0.6134390335975844,0.3865609664024156,0,
mixed-greedy,0.3,0.25,OK,True,255.32530120481925,248.21204819277105,1.0286579683131407,0.3857218414893531,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.14184738955823292,1786.2615410665746,0.008392715669515678,0.01582085919435317,0.6134390335975844,0.3865609664024156,0,
replay-only,0.3,0.25,OK,True,248.36626506024098,248.21204819277105,1.0006213109661388,0.9099489400209814,0.05608516243660233,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.13798125836680053,1766.1907446063976,1.823361823361822e-06,0.024339783375927952,1.0,0.0,0,
state-only,0.3,0.25,OK,True,267.3734939759036,248.21204819277105,1.0771978875427153,0.5031125425353465,0.1510688820512769,5.532307692307768,5.532307692307768,0.07376410256410357,0.0,1800.0,0.1485408299866131,1788.7098777857657,0.021514529914529908,0.0,0.0,1.0,0,
CVXPY-rounded,0.4,0.25,OK,True,331.00722891566267,330.94939759036146,1.0001747437092265,0.39238001470478273,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.11971655046644378,0.0,1800.0,0.18389290495314592,1790.1907446063976,0.008532602043684718,0.02337203358890106,0.7003319550404755,0.2996680449595244,0,
repaired-CVXPY-rounded,0.4,0.25,OK,True,331.00722891566267,330.94939759036146,1.0001747437092265,0.38979730161706216,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.11216332316382704,0.0,1800.0,0.18389290495314592,1790.1907446063976,0.008392751456030398,0.023122794207131554,0.7018228408362941,0.2981771591637059,19,class0:k0/replay->k2/replay x5; class0:k0/state->k2/replay x2; class0:k1/replay->k2/replay x5; class0:k1/state->k2/replay x2; class0:k2/state->k2/replay x4; class1:k1/replay->k0/replay x1
deadline-aware-m0.8-rounded,0.4,0.25,OK,True,330.9802409638554,330.94939759036146,1.0000931966449207,1.8928644571542481,0.07868170940170671,13.800034188034191,21.90815991013,0.28880481763189175,0.0,1800.0,0.18387791164658635,1810.220710751237,0.03333957299905033,0.021658026043568215,0.40141878669275927,0.5985812133072407,0,
deadline-aware-m1.0-rounded,0.4,0.25,OK,True,330.9609638554217,330.94939759036146,1.0000349487418454,1.3814173999107187,0.06294536752136537,8.578035240561292,22.14879317423077,0.28608669538463116,0.0,1800.0,0.18386720214190094,1822.4448194099807,0.03445757418119658,0.020587562370694902,0.4157939494192887,0.5842060505807112,0,
mirror-descent-rounded,0.4,0.25,OK,True,339.66265060240966,330.94939759036146,1.0263280521901212,0.49101483610900254,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.18870147255689426,1787.1907446063976,0.008392715669515678,0.024339783375927952,0.7094211123723045,0.29057888762769546,0,
crossover-greedy,0.4,0.25,OK,True,339.66265060240966,330.94939759036146,1.0263280521901212,0.49101483610900254,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.18870147255689426,1787.1907446063976,0.008392715669515678,0.024339783375927952,0.7094211123723045,0.29057888762769546,0,
mixed-greedy,0.4,0.25,OK,True,339.66265060240966,330.94939759036146,1.0263280521901212,0.49101483610900254,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.18870147255689426,1787.1907446063976,0.008392715669515678,0.024339783375927952,0.7094211123723045,0.29057888762769546,0,
replay-only,0.4,0.25,OK,True,350.26506024096386,330.94939759036146,1.0583643988816402,0.8812248898402272,0.05608516243660233,2.1907446063976295,25.127229668474914,0.07302482021325432,0.0,1800.0,0.1945917001338688,1834.504636299729,1.8233618233618236e-06,0.03650967506389193,1.0,0.0,0,
state-only,0.4,0.25,OK,True,339.66265060240966,330.94939759036146,1.0263280521901212,0.6402724102564127,0.1510688820512769,5.532307692307768,5.532307692307768,0.07376410256410357,0.0,1800.0,0.18870147255689426,1789.1686713286715,0.030735042735042725,0.0,0.0,1.0,0,
CVXPY-rounded,0.5,0.25,OK,True,413.7253012048193,413.6867469879518,1.000093196644921,0.24110342913534125,0.05608516243660233,2.1907446063976295,2.1907446063976295,0.12589073504273074,0.0,1800.0,0.22984738955823295,1800.4618851570965,0.008847448688319097,0.026894487039065353,0.699021526418787,0.300978473581213,0,
