policy,shed_fraction,slack_multiplier,status,group_type,group,moved_requests,missed_requests,miss_rate,avg_missed_network_wait,avg_missed_prefill_wait,avg_missed_total_delay
mirror-descent-rounded,0.3,0.25,OK,destination,k0,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,destination,k1,17,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,destination,k2,44,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,action,replay,17,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,action,state,44,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,class,class2,44,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,class,class4,17,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,destination,k0,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,destination,k1,17,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,destination,k2,44,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,action,replay,17,0,0.0,0.0,0.0,0.0
crossover-greedy,0.3,0.25,OK,action,state,44,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,class,class2,44,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,class,class4,17,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
