policy,release_policy,release_seed,drain_window_s,deadline_scale,max_safe_retained_prefill_fraction,frontier_censored_by_search,first_unsafe_retained_prefill_fraction,first_unsafe_failure_mode,absolute_p95_delay_over_deadline_at_frontier,absolute_deadline_miss_rate_at_frontier,p95_delay_over_deadline_at_frontier,deadline_miss_rate_at_frontier,network_capacity_pressure_at_frontier,prefill_capacity_pressure_at_frontier,average_equivalent_state_target_tb_at_frontier,actual_evacuated_state_tb_at_frontier,actual_evacuated_nvl72_hbm_fraction_at_frontier,replay_retained_prefill_fraction_at_frontier,state_transfer_retained_prefill_fraction_at_frontier,drain_completion_s_at_frontier
replay-only,edf,,10.0,1.0,0.1328,False,0.14,target_not_met,0.9049715735685008,0.0,0.005608516243660056,0.0,9.452307692307693e-05,1.4238773274917853,0.081985577984,0.09054728,0.0067572597014925375,1.0,0.0,24.111740295441564
replay-only,edf,,20.0,1.0,0.1328,False,0.14,absolute_deadline_miss,0.17433506595145146,0.0,0.031835065951451476,0.0,8.205128205128203e-05,1.0952902519167578,0.081985577984,0.0899,0.006708955223880597,1.0,0.0,21.90596914089926
replay-only,edf,,40.0,1.0,0.2656,False,0.27,absolute_deadline_miss,0.3304139268495894,0.0,0.03041392684958942,0.0,7.794871794871793e-05,1.04052573932092,0.163971155968,0.17081,0.012747014925373135,1.0,0.0,41.621193675400896
replay-only,edf,,80.0,1.0,0.29,False,0.2969,absolute_deadline_miss,0.6199228717199802,0.0,0.018256205053313525,0.0,4.102564102564102e-05,0.5476451259583789,0.1790347712,0.1798,0.013417910447761194,1.0,0.0,78.19074460639763
replay-only,edf,,160.0,1.0,0.04,False,0.0469,absolute_deadline_miss,0.862700649497758,0.0,0.018256205053313573,0.0,3.076923076923076e-06,0.041073384446878414,0.0246944512,0.02697,0.002012686567164179,1.0,0.0,108.8574112730643
replay-only,edf,,300.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,5.470085470085469e-07,0.007301935012778385,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,edf,,600.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,2.7350427350427344e-07,0.0036509675063891925,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,edf,,1200.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,1.3675213675213672e-07,0.0018254837531945962,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,edf,,2400.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,6.837606837606836e-08,0.0009127418765972981,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,edf,,3600.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,4.558404558404557e-08,0.0006084945843981988,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,shortest-context-first,,10.0,1.0,0.1328,False,0.14,target_not_met,0.9049715735685008,0.0,0.005608516243660056,0.0,9.452307692307693e-05,1.4238773274917853,0.081985577984,0.09054728,0.0067572597014925375,1.0,0.0,24.111740295441564
replay-only,shortest-context-first,,20.0,1.0,0.1328,False,0.14,absolute_deadline_miss,0.17433506595145146,0.0,0.031835065951451476,0.0,8.205128205128203e-05,1.0952902519167578,0.081985577984,0.0899,0.006708955223880597,1.0,0.0,21.90596914089926
replay-only,shortest-context-first,,40.0,1.0,0.2656,False,0.27,absolute_deadline_miss,0.3304139268495894,0.0,0.03041392684958942,0.0,7.794871794871793e-05,1.04052573932092,0.163971155968,0.17081,0.012747014925373135,1.0,0.0,41.621193675400896
replay-only,shortest-context-first,,80.0,1.0,0.29,False,0.2969,absolute_deadline_miss,0.6199228717199802,0.0,0.018256205053313525,0.0,4.102564102564102e-05,0.5476451259583789,0.1790347712,0.1798,0.013417910447761194,1.0,0.0,78.19074460639763
replay-only,shortest-context-first,,160.0,1.0,0.04,False,0.0469,absolute_deadline_miss,0.862700649497758,0.0,0.018256205053313573,0.0,3.076923076923076e-06,0.041073384446878414,0.0246944512,0.02697,0.002012686567164179,1.0,0.0,108.8574112730643
replay-only,shortest-context-first,,300.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,5.470085470085469e-07,0.007301935012778385,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,shortest-context-first,,600.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,2.7350427350427344e-07,0.0036509675063891925,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,shortest-context-first,,1200.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,1.3675213675213672e-07,0.0018254837531945962,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,shortest-context-first,,2400.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,6.837606837606836e-08,0.0009127418765972981,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,shortest-context-first,,3600.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,4.558404558404557e-08,0.0006084945843981988,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,random,7,10.0,1.0,0.1328,False,0.14,target_not_met,0.9049715735685008,0.0,0.005608516243660056,0.0,9.452307692307693e-05,1.4238773274917853,0.081985577984,0.09054728,0.0067572597014925375,1.0,0.0,23.793268957861947
replay-only,random,7,20.0,1.0,0.1328,False,0.14,absolute_deadline_miss,0.17433506595145146,0.0,0.031835065951451476,0.0,8.205128205128203e-05,1.0952902519167578,0.081985577984,0.0899,0.006708955223880597,1.0,0.0,21.90596914089926
replay-only,random,7,40.0,1.0,0.2656,False,0.27,absolute_deadline_miss,0.3304139268495894,0.0,0.03041392684958942,0.0,7.794871794871793e-05,1.04052573932092,0.163971155968,0.17081,0.012747014925373135,1.0,0.0,41.621193675400896
replay-only,random,7,80.0,1.0,0.29,False,0.2969,absolute_deadline_miss,0.6199228717199802,0.0,0.018256205053313525,0.0,4.102564102564102e-05,0.5476451259583789,0.1790347712,0.1798,0.013417910447761194,1.0,0.0,78.19074460639763
replay-only,random,7,160.0,1.0,0.04,False,0.0469,absolute_deadline_miss,0.862700649497758,0.0,0.018256205053313573,0.0,3.076923076923076e-06,0.041073384446878414,0.0246944512,0.02697,0.002012686567164179,1.0,0.0,108.8574112730643
replay-only,random,7,300.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,5.470085470085469e-07,0.007301935012778385,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
replay-only,random,7,600.0,1.0,0.01,False,0.0156,absolute_deadline_miss,0.018256205053313483,0.0,0.018256205053313483,0.0,2.7350427350427344e-07,0.0036509675063891925,0.0061736128,0.00899,0.0006708955223880597,1.0,0.0,2.190744606397618
