gpus,load,wan_gbps,deadline_s,draw,policy,shed_fraction,action_fractions,resource_utilization,qh_gap
64,0.5,40,1,8,kv_only,0.04580731227179058,"[0.0, 0.0, 0.0, 0.04580731227179058]","[0.36645849817432463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07329169963486493, 0.0, 0.0008361114376983219, 0.0, 1.0, 1.0]",0.24981088053101125
64,0.5,40,1,8,replay_only,0.25,"[0.125, 0.0, 0.125, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.004563198516960482, 0.002281599258480241, 0.006189173519495973, 0.00026478182305419116, 0.00316631590744103]",0.04561819280280183
64,0.5,40,1,8,isolated_fastest,0.04580731227179058,"[0.0, 0.0, 0.0, 0.04580731227179058]","[0.36645849817432463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07329169963486493, 0.0, 0.0008361114376983219, 0.0, 1.0, 1.0]",0.24981088053101125
64,0.5,40,1.5,0,queue_haul,0.4686723653777573,"[0.16768768960081784, 0.04268768960081858, 0.2073123103991814, 0.05098467577693945]","[1.0, 1.0, 0.9999999999999999, 0.7493789230220584, 0.0, 0.0, 0.0, 0.0, 0.999999999999994, 1.0, 0.3366006067226183, 0.41327517788179347, 0.009905566641436608, 0.008341559231315994, 1.0, 0.5439647651924178, 1.0]",0.0
64,0.5,40,1.5,0,greedy,0.3984552205898452,"[0.125, 0.0, 0.25, 0.023455220589845234]","[1.0, 1.0, 1.0, 0.0, 0.18764176471876187, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.4375283529437524, 0.004563198516960482, 0.008557291020409726, 0.0004298673298581164, 0.999803965351292, 1.0]",0.07021714478791208
64,0.5,40,1.5,0,kv_only,0.09391720387308547,"[0.0, 0.0428295541207341, 0.0, 0.05108764975235137]","[0.7513376309846838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06852728659317457, 0.0817402396037622, 0.0007817590313832502, 0.0009324923503397052, 1.0, 0.5439647651924178, 1.0]",0.3747551615046718
64,0.5,40,1.5,0,replay_only,0.375,"[0.125, 0.0, 0.25, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.4, 0.009126397033920965, 0.006844797775440723, 0.003041171672590495, 0.0008295656644647221, 0.002216447102264696]",0.0936723653777573
64,0.5,40,1.5,0,isolated_fastest,0.09391720387308547,"[0.0, 0.0428295541207341, 0.0, 0.05108764975235137]","[0.7513376309846838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06852728659317457, 0.0817402396037622, 0.0007817590313832502, 0.0009324923503397052, 1.0, 0.5439647651924178, 1.0]",0.3747551615046718
64,0.5,40,1.5,1,queue_haul,0.4690688635126573,"[0.16699907368260386, 0.04199907368260427, 0.20800092631739575, 0.05206978983005345]","[1.0000000000000002, 1.0000000000000002, 1.0, 0.7525509081012582, 0.0, 0.0, 0.0, 0.0, 0.9999999999999967, 1.0000000000000002, 0.334397035784333, 0.41611314583591874, 0.009892997476889629, 0.00838307719108143, 1.0, 0.553188379819734, 1.0]",0.0
64,0.5,40,1.5,1,greedy,0.3985543479865183,"[0.125, 0.0, 0.25, 0.023554347986518308]","[1.0, 1.0, 1.0, 0.0, 0.18843478389214646, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.43768695677842934, 0.004563198516960482, 0.008564528428241546, 0.00043833744720810146, 0.9998041457350273, 1.0000000000000002]",0.07051451552613902
