sessions,source_instances,source_nodes,solver,bandwidth_gbps_per_node,deadline_s,end_s,target_fraction_of_removable_power,initial_source_power_w,minimum_awake_source_power_w,removable_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,modeled_fraction_of_removable_power_shed,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_deadline,moves_completed_by_end,source_nodes_drained_by_deadline,source_nodes_drained_by_end,makespan_s,p95_migration_time_s,p95_service_pause_ms,network_gb,destination_queue_max_depth,destination_queue_p95_observed_wait_s,build_s,plan_s,execute_s
1000,25,4,lp_work_first,1.0,900,1350,0.5,6292.4845896509805,2147.8534269375896,4144.631162713391,2072.3155813566955,3836.225438748364,3836.2254387483645,0.9255891026589878,True,937,937,0,937,937,3,3,365.24768733528794,8.138993567543203,0.0,0.054631667,0,0.0,0.019594041164964437,0.22607620898634195,0.055010249838232994
3162,77,10,lp,1.0,900,1350,0.5,18412.35248546982,5369.633567344057,13042.718918125762,6521.359459062881,12257.07374559523,12257.073745595251,0.939763696706008,True,2989,2989,0,2989,2989,8,8,393.7834580183844,13.73912758260775,0.0,0.173737055,0,0.0,0.05969599960371852,0.45466037513688207,0.19930500024929643
3162,77,10,lp_peak_first,1.0,900,1350,0.5,18412.35248546982,5369.633567344057,13042.718918125762,6521.359459062881,12259.061143664037,12259.061143664068,0.9399160727620507,True,2989,2989,0,2989,2989,8,8,393.26794884661064,13.736199734607768,0.0,0.173737055,0,0.0,0.05969599960371852,0.7622610409744084,0.20724016707390547
3162,77,10,lp_work_first,1.0,900,1350,0.5,18412.35248546982,5369.633567344057,13042.718918125762,6521.359459062881,12259.061143664037,12259.06114366409,0.9399160727620524,True,2989,2989,0,2989,2989,8,8,393.26794884661064,13.73912758260775,0.0,0.173737055,0,0.0,0.05969599960371852,0.7475320417433977,0.2015042081475258
10000,241,31,lp,1.0,900,1350,0.5,57792.46816763987,16645.864058764546,41146.604108875326,20573.302054437663,38653.06681707817,38653.06681708061,0.9393987099106227,True,9480,9480,0,9480,9480,14,14,387.11986909443897,8.139282601593207,0.0,0.54932988,0,0.0,0.21637891698628664,1.5058535002171993,0.6525357910431921
10000,241,31,lp_peak_first,1.0,900,1350,0.5,57792.46816763987,16645.864058764546,41146.604108875326,20573.302054437663,38864.0739331461,38864.073933148444,0.9445268880589215,True,9480,9480,0,9480,9480,27,27,384.5837778319603,8.1385915945432,0.0,0.54932988,0,0.0,0.21637891698628664,2.614279250148684,0.7049171673133969
10000,241,31,lp_work_first,1.0,900,1350,0.5,57792.46816763987,16645.864058764546,41146.604108875326,20573.302054437663,38864.0739331461,38864.07393314845,0.9445268880589216,True,9480,9480,0,9480,9480,27,27,378.9803247608957,8.138655082543202,0.0,0.54932988,0,0.0,0.21637891698628664,2.5260872920043766,0.6642896668054163
31623,760,95,lp,1.0,900,1350,0.5,181009.33546309167,51011.51888979052,129997.81657330116,64998.90828665058,123040.95396602177,123040.95396601335,0.9464847734318285,True,30027,30027,0,30027,30027,85,85,500.49985676293676,8.13749552254319,0.0,1.738652745,0,0.0,0.6679242085665464,4.780797166749835,2.0995281669311225
31623,760,95,lp_peak_first,1.0,900,1350,0.5,181009.33546309167,51011.51888979052,129997.81657330116,64998.90828665058,123128.38655560673,123128.3865555992,0.9471573431094626,True,30027,30027,0,30027,30027,85,85,489.8294784149149,8.137504572043156,0.0,1.738652745,0,0.0,0.6679242085665464,8.590823790989816,2.1164487916976213
31623,760,95,lp_work_first,1.0,900,1350,0.5,181009.33546309167,51011.51888979052,129997.81657330116,64998.90828665058,123128.38655560673,123128.38655559914,0.9471573431094622,True,30027,30027,0,30027,30027,85,85,489.8294784149149,8.137495522543247,0.0,1.738652745,0,0.0,0.6679242085665464,8.211755624972284,2.101207375060767
100000,2403,301,lp,1.0,900,1350,0.5,572692.4145814078,161625.97037671055,411066.44420469727,205533.22210234863,389089.36507619685,389089.36507588846,0.9465364311812692,True,94956,94956,0,94956,94956,273,273,367.7796280547666,8.138009018543201,0.0,5.499240804,0,0.0,2.187002249993384,20.046547582838684,9.273873708210886
100000,2403,301,lp_peak_first,1.0,900,1350,0.5,572692.4145814078,161625.97037671055,411066.44420469727,205533.22210234863,389362.0404851001,389362.0404847799,0.9471997677603933,True,94956,94956,0,94956,94956,273,273,362.7086527718092,8.137993146543202,0.0,5.499240804,0,0.0,2.187002249993384,33.28786654211581,8.204637417104095
100000,2403,301,lp_work_first,1.0,900,1350,0.5,572692.4145814078,161625.97037671055,411066.44420469727,205533.22210234863,389362.0404851001,389362.0404847757,0.947199767760383,True,94956,94956,0,94956,94956,273,273,362.7086527718092,8.137970421209872,0.0,5.499240804,0,0.0,2.187002249993384,30.569389457814395,8.540200249757618
