api_wire_bytes,bandwidth,cached_tokens,chunk_tokens,completion_s,context_tokens,destination,destination_ready_s,destination_region,exact_token_timestamps,kv_wire_bytes,mean_tpot_s,method,model,passed,repeat,revision,source,source_region,stream_span_s,timing_root,readiness_root
82380,controlled_40,0,784,18.133923974,16384,germany,11.84242996,southcentralus,True,0,0.04953895616535433,replay,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,6.291447433,/datadrive/k21-qwen,/datadrive/k22-qwen
82302,controlled_40,15680,784,12.756246031,16384,germany,6.459325572,southcentralus,True,1181745520,0.04958169762204724,kv_transfer,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,6.296875598,/datadrive/k21-qwen,/datadrive/k22-qwen
82380,controlled_40,0,784,18.14825482,16384,germany,11.844176196,southcentralus,True,0,0.049637891125984254,replay,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,6.304012173,/datadrive/k21-qwen,/datadrive/k22-qwen
161663,controlled_40,32144,784,19.783691459,32256,germany,10.544377527,southcentralus,True,2260730571,0.07275010449606299,kv_transfer,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,9.239263271,/datadrive/k21-qwen,/datadrive/k22-qwen
161741,controlled_40,0,784,50.271403735,32256,germany,41.028184198,southcentralus,True,0,0.07278085540944881,replay,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,9.243168637,/datadrive/k21-qwen,/datadrive/k22-qwen
161663,controlled_40,32144,784,20.070852104,32256,germany,10.830293547,southcentralus,True,2260730571,0.07275989603149606,kv_transfer,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,9.240506796,/datadrive/k21-qwen,/datadrive/k22-qwen
161741,controlled_40,0,784,50.272207505,32256,germany,41.030859093,southcentralus,True,0,0.07276611481889764,replay,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,9.241296582,/datadrive/k21-qwen,/datadrive/k22-qwen
161663,controlled_40,32144,784,19.337246544,32256,germany,10.092200289,southcentralus,True,2260730571,0.07279527311023622,kv_transfer,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,9.244999685,/datadrive/k21-qwen,/datadrive/k22-qwen
161741,controlled_40,0,784,50.274540869,32256,germany,41.028061068,southcentralus,True,0,0.07280651961417323,replay,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,9.246427991,/datadrive/k21-qwen,/datadrive/k22-qwen
24971,controlled_40,4096,256,15.043523457,4096,east,10.952568152,southeastasia,True,293601604,0.0322119966535433,kv_transfer,google/gemma-4-26B-A4B-it,True,0,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,4.090923575,/datadrive/k19-gemma,/datadrive/k23-gemma
25049,controlled_40,0,256,4.94691868,4096,east,0.859509748,southeastasia,True,0,0.03218420812598425,replay,google/gemma-4-26B-A4B-it,True,0,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,4.087394432,/datadrive/k19-gemma,/datadrive/k23-gemma
24971,controlled_40,4096,256,15.183212605,4096,east,11.135589615,southeastasia,True,293601604,0.0318707731496063,kv_transfer,google/gemma-4-26B-A4B-it,True,1,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,4.04758819,/datadrive/k19-gemma,/datadrive/k23-gemma
25049,controlled_40,0,256,4.954696533,4096,east,0.887308349,southeastasia,True,0,0.03202657790551181,replay,google/gemma-4-26B-A4B-it,True,1,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,4.067375394,/datadrive/k19-gemma,/datadrive/k23-gemma
24971,controlled_40,4096,256,15.021108189,4096,east,10.938042407,southeastasia,True,293601604,0.0321500117480315,kv_transfer,google/gemma-4-26B-A4B-it,True,2,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,4.083051492,/datadrive/k19-gemma,/datadrive/k23-gemma
25049,controlled_40,0,256,4.96503048,4096,east,0.869313468,southeastasia,True,0,0.03224963497637796,replay,google/gemma-4-26B-A4B-it,True,2,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,4.095703642,/datadrive/k19-gemma,/datadrive/k23-gemma
98701,controlled_40,16384,256,20.531762373,16384,east,16.669527502,southeastasia,True,545260612,0.030411053314960627,kv_transfer,google/gemma-4-26B-A4B-it,True,0,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.862203771,/datadrive/k19-gemma,/datadrive/k23-gemma
98779,controlled_40,0,256,5.986170257,16384,east,2.096418992,southeastasia,True,0,0.030627859803149606,replay,google/gemma-4-26B-A4B-it,True,0,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.889738195,/datadrive/k19-gemma,/datadrive/k23-gemma
98701,controlled_40,16384,256,22.670229238,16384,east,18.806246086,southeastasia,True,545260612,0.0304249354488189,kv_transfer,google/gemma-4-26B-A4B-it,True,1,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.863966802,/datadrive/k19-gemma,/datadrive/k23-gemma
98779,controlled_40,0,256,6.008556909,16384,east,2.093907675,southeastasia,True,0,0.030823723102362206,replay,google/gemma-4-26B-A4B-it,True,1,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.914612834,/datadrive/k19-gemma,/datadrive/k23-gemma
