deadline_s,policy,mode,rho,seed,destination_offered_rps,envelope_rps,within_envelope
30.0,isolated_fastest,normal,0.44,1001,2.2710853488008036,5.0,True
30.0,replay_only,normal,0.44,1003,2.27582437205419,5.0,True
60.0,greedy,normal,0.48,1002,2.4568682790406426,5.0,True
60.0,replay_only,normal,0.2,1001,1.8672412553698,5.0,True
120.0,greedy,normal,0.2,1003,2.834001999060722,5.0,True
120.0,kv_only,normal,0.3,1002,2.1682022787275503,5.0,True
180.0,queue_haul,normal,0.38,1001,3.201924685026135,5.0,True
180.0,isolated_fastest,normal,0.38,1003,3.201924685026135,5.0,True
180.0,replay_only,normal,0.44,1002,2.754465720646265,5.0,True
240.0,greedy,normal,0.48,1001,2.8412482049622354,5.0,True
240.0,kv_only,normal,0.48,1003,2.815351801544011,5.0,True
300.0,greedy,normal,0.2,1002,4.980779532844991,5.0,True
300.0,kv_only,normal,0.3,1001,3.234482510739598,5.0,True
375.0,queue_haul,normal,0.3,1003,4.92533813238417,5.0,True
375.0,isolated_fastest,normal,0.38,1002,4.652640762626691,5.0,True
375.0,replay_only,normal,0.44,1001,3.380016790093335,5.0,True
450.0,greedy,normal,0.44,1003,4.326014078454409,5.0,True
450.0,kv_only,normal,0.48,1002,3.2423829367460852,5.0,True
600.0,greedy,normal,0.2,1001,4.980779532844991,5.0,True
600.0,kv_only,normal,0.2,1003,4.852825905003543,5.0,True
750.0,queue_haul,normal,0.3,1002,4.912096742438558,5.0,True
750.0,isolated_fastest,normal,0.38,1001,4.970887068194697,5.0,True
750.0,replay_only,normal,0.38,1003,4.9708870681947035,5.0,True
900.0,greedy,normal,0.44,1002,4.9370647050092105,5.0,True
900.0,kv_only,normal,0.48,1001,4.084765873492172,5.0,True
1800.0,queue_haul,normal,0.48,1003,4.9672622834166456,5.0,True
1800.0,kv_only,normal,0.2,1002,4.980779532844991,5.0,True
2700.0,queue_haul,normal,0.3,1001,4.912096742438558,5.0,True
2700.0,isolated_fastest,normal,0.3,1003,4.931570014029761,5.0,True
2700.0,replay_only,normal,0.38,1002,4.970887068194697,5.0,True
30.0,queue_haul,normal,0.38,1003,2.0772255320947366,5.0,True
30.0,isolated_fastest,normal,0.44,1002,2.2710853488008036,5.0,True
30.0,replay_only,normal,0.48,1001,2.4284341395203213,5.0,True
60.0,greedy,normal,0.48,1003,2.4568682790406426,5.0,True
60.0,replay_only,normal,0.2,1002,1.8672412553698,5.0,True
120.0,greedy,normal,0.3,1001,2.9135182294569466,5.0,True
120.0,kv_only,normal,0.3,1003,2.1682022787275503,5.0,True
180.0,queue_haul,normal,0.38,1002,3.201924685026135,5.0,True
180.0,isolated_fastest,normal,0.44,1001,3.042382936746086,5.0,True
180.0,replay_only,normal,0.44,1003,2.754465720646265,5.0,True
240.0,greedy,normal,0.48,1002,2.8412482049622354,5.0,True
240.0,replay_only,normal,0.2,1001,3.8149798125118024,5.0,True
300.0,greedy,normal,0.2,1003,4.980779532844991,5.0,True
300.0,kv_only,normal,0.3,1002,3.234482510739598,5.0,True
375.0,queue_haul,normal,0.38,1001,4.875827851488312,5.0,True
375.0,isolated_fastest,normal,0.38,1003,4.652640762626691,5.0,True
375.0,replay_only,normal,0.44,1002,3.380016790093335,5.0,True
450.0,greedy,normal,0.48,1001,3.2423829367460852,5.0,True
450.0,kv_only,normal,0.48,1003,3.2022694635677005,5.0,True
600.0,greedy,normal,0.2,1002,4.980779532844991,5.0,True
600.0,kv_only,normal,0.3,1001,4.912096742438558,5.0,True
750.0,queue_haul,normal,0.3,1003,4.92533813238417,5.0,True
750.0,isolated_fastest,normal,0.38,1002,4.970887068194697,5.0,True
750.0,replay_only,normal,0.44,1001,4.588467719706988,5.0,True
900.0,greedy,normal,0.44,1003,4.929677393950837,5.0,True
900.0,kv_only,normal,0.48,1002,4.084765873492172,5.0,True
1800.0,greedy,normal,0.2,1001,4.980779532844991,5.0,True
1800.0,kv_only,normal,0.2,1003,4.980779532844991,5.0,True
2700.0,queue_haul,normal,0.3,1002,4.912096742438558,5.0,True
2700.0,isolated_fastest,normal,0.38,1001,4.970887068194697,5.0,True
2700.0,replay_only,normal,0.38,1003,4.9708870681947035,5.0,True
30.0,queue_haul,normal,0.44,1001,2.282764682458867,5.0,True
30.0,isolated_fastest,normal,0.44,1003,2.27582437205419,5.0,True
30.0,replay_only,normal,0.48,1002,2.4284341395203213,5.0,True
60.0,isolated_fastest,normal,0.2,1001,1.8672412553698,5.0,True
60.0,replay_only,normal,0.2,1003,1.871980278623187,5.0,True
120.0,greedy,normal,0.3,1002,2.9135182294569466,5.0,True
120.0,kv_only,normal,0.38,1001,2.4686827904064255,5.0,True
180.0,queue_haul,normal,0.38,1003,3.201924685026135,5.0,True
180.0,isolated_fastest,normal,0.44,1002,3.042382936746086,5.0,True
180.0,replay_only,normal,0.48,1001,2.6132560464024097,5.0,True
240.0,greedy,normal,0.48,1003,2.8412482049622354,5.0,True
240.0,replay_only,normal,0.2,1002,4.753306416682419,5.0,True
300.0,greedy,normal,0.3,1001,4.289838610770294,5.0,True
300.0,kv_only,normal,0.3,1003,3.234482510739598,5.0,True
375.0,queue_haul,normal,0.38,1002,4.875827851488312,5.0,True
375.0,isolated_fastest,normal,0.44,1001,3.964992819848942,5.0,True
375.0,replay_only,normal,0.44,1003,3.380016790093335,5.0,True
450.0,greedy,normal,0.48,1002,3.2423829367460852,5.0,True
450.0,replay_only,normal,0.2,1001,4.980779532844991,5.0,True
600.0,greedy,normal,0.2,1003,4.980779532844991,5.0,True
600.0,kv_only,normal,0.3,1002,4.912096742438558,5.0,True
750.0,queue_haul,normal,0.38,1001,4.970887068194697,5.0,True
750.0,isolated_fastest,normal,0.38,1003,4.9708870681947035,5.0,True
750.0,replay_only,normal,0.44,1002,4.588467719706983,5.0,True
900.0,greedy,normal,0.48,1001,4.084765873492172,5.0,True
900.0,kv_only,normal,0.48,1003,4.084765873492172,5.0,True
1800.0,greedy,normal,0.2,1002,4.980779532844991,5.0,True
1800.0,kv_only,normal,0.3,1001,4.912096742438558,5.0,True
2700.0,queue_haul,normal,0.3,1003,4.92533813238417,5.0,True
2700.0,isolated_fastest,normal,0.38,1002,4.970887068194697,5.0,True
2700.0,replay_only,normal,0.44,1001,4.929677393950843,5.0,True
30.0,queue_haul,normal,0.44,1002,2.282764682458867,5.0,True
30.0,isolated_fastest,normal,0.48,1001,2.4284341395203213,5.0,True
30.0,replay_only,normal,0.48,1003,2.4284341395203213,5.0,True
60.0,isolated_fastest,normal,0.2,1002,1.8672412553698,5.0,True
60.0,replay_only,normal,0.3,1001,2.0686827904064264,5.0,True
120.0,greedy,normal,0.3,1003,2.92226510456129,5.0,True
120.0,kv_only,normal,0.38,1002,2.4686827904064255,5.0,True
180.0,queue_haul,normal,0.44,1001,3.042382936746086,5.0,True
180.0,isolated_fastest,normal,0.44,1003,3.042382936746086,5.0,True
180.0,replay_only,normal,0.48,1002,2.6132560464024097,5.0,True
240.0,isolated_fastest,normal,0.2,1001,3.8149798125118024,5.0,True
240.0,replay_only,normal,0.2,1003,4.7153942306553205,5.0,True
300.0,greedy,normal,0.3,1002,4.289838610770294,5.0,True
300.0,kv_only,normal,0.38,1001,3.3785752550567083,5.0,True
375.0,queue_haul,normal,0.38,1003,4.948718477357843,5.0,True
375.0,isolated_fastest,normal,0.44,1002,3.964992819848942,5.0,True
375.0,replay_only,normal,0.48,1001,2.854946232325141,5.0,True
450.0,greedy,normal,0.48,1003,3.2022694635677005,5.0,True
450.0,replay_only,normal,0.2,1002,4.980779532844991,5.0,True
600.0,greedy,normal,0.3,1001,4.912096742438558,5.0,True
600.0,kv_only,normal,0.3,1003,4.931570014029761,5.0,True
750.0,queue_haul,normal,0.38,1002,4.970887068194697,5.0,True
750.0,isolated_fastest,normal,0.44,1001,4.878245066339483,5.0,True
750.0,replay_only,normal,0.44,1003,4.588467719706983,5.0,True
900.0,greedy,normal,0.48,1002,4.084765873492172,5.0,True
900.0,replay_only,normal,0.2,1001,4.980779532844991,5.0,True
1800.0,greedy,normal,0.2,1003,4.980779532844991,5.0,True
1800.0,kv_only,normal,0.3,1002,4.912096742438558,5.0,True
2700.0,queue_haul,normal,0.38,1001,4.970887068194697,5.0,True
2700.0,isolated_fastest,normal,0.38,1003,4.9708870681947035,5.0,True
2700.0,replay_only,normal,0.44,1002,4.929677393950837,5.0,True
30.0,queue_haul,normal,0.44,1003,2.27582437205419,5.0,True
30.0,isolated_fastest,normal,0.48,1002,2.4284341395203213,5.0,True
60.0,queue_haul,normal,0.2,1001,1.9299462035900965,5.0,True
60.0,isolated_fastest,normal,0.2,1003,1.871980278623187,5.0,True
60.0,replay_only,normal,0.3,1002,2.0686827904064256,5.0,True
120.0,greedy,normal,0.38,1001,2.755550507302889,5.0,True
120.0,kv_only,normal,0.38,1003,2.4686827904064255,5.0,True
180.0,queue_haul,normal,0.44,1002,3.042382936746086,5.0,True
180.0,isolated_fastest,normal,0.48,1001,2.7209077854270802,5.0,True
180.0,replay_only,normal,0.48,1003,2.6132560464024097,5.0,True
240.0,isolated_fastest,normal,0.2,1002,4.753306416682419,5.0,True
240.0,replay_only,normal,0.3,1001,3.959553068507786,5.0,True
300.0,greedy,normal,0.3,1003,4.570887068194704,5.0,True
300.0,kv_only,normal,0.38,1002,3.3785752550567083,5.0,True
375.0,queue_haul,normal,0.44,1001,3.964992819848942,5.0,True
375.0,isolated_fastest,normal,0.44,1003,3.964992819848942,5.0,True
