D,method,metric,mean,std
120.0,optimizer,token_wtd,0.6804261755753668,0.0
120.0,optimizer,kv_wtd,0.4710492377049611,0.0
120.0,optimizer,min_class,0.42854309597875306,0.0
120.0,optimizer,phi,0.9999999999999998,0.0
120.0,random,evac_frac,0.9034215877895463,0.004716408765175719
120.0,random,token_wtd,0.40862775830610415,0.014023189900697655
120.0,random,kv_wtd,0.36945193742373184,0.022842461470898304
120.0,random,min_class,0.0,0.0
120.0,random,phi,106.96085685556426,57.67978431477328
120.0,random,num_starved,4.96,0.19595917942265426
120.0,replay_only,evac_frac,0.669784133575835,0.0
120.0,replay_only,token_wtd,0.18026768680670358,0.0
120.0,replay_only,kv_wtd,0.14695934101832517,0.0
120.0,replay_only,min_class,0.0,0.0
120.0,replay_only,phi,189.96941474328435,0.0
120.0,replay_only,num_starved,10.0,0.0
120.0,state_only,evac_frac,0.8937289952911402,0.0
120.0,state_only,token_wtd,0.37977689312958746,0.0
120.0,state_only,kv_wtd,0.30342570066475283,0.0
120.0,state_only,min_class,0.0,0.0
120.0,state_only,phi,5.767474528907917,0.0
120.0,state_only,num_starved,5.0,0.0
120.0,least_loaded,evac_frac,0.669784133575835,0.0
120.0,least_loaded,token_wtd,0.18026768680670358,0.0
120.0,least_loaded,kv_wtd,0.14695934101832517,0.0
120.0,least_loaded,min_class,0.0,0.0
120.0,least_loaded,phi,155.4960815606909,0.0
120.0,least_loaded,num_starved,10.0,0.0
180.0,optimizer,evac_frac,0.9878067618266434,0.0
180.0,optimizer,token_wtd,0.8505481057453587,0.0
180.0,optimizer,kv_wtd,0.6787850078273399,0.0
180.0,optimizer,min_class,0.642815175715866,0.0
180.0,optimizer,phi,1.0,0.0
180.0,random,evac_frac,0.9678887823771417,0.0030742000803447023
180.0,random,token_wtd,0.6052568049286323,0.01522770196449007
180.0,random,kv_wtd,0.5485133725849445,0.02840830767650206
180.0,random,min_class,0.0,0.0
180.0,random,phi,71.3072379037095,38.453189543182184
180.0,random,num_starved,2.18,0.38418745424597095
180.0,replay_only,evac_frac,0.7060647721305464,0.0
180.0,replay_only,token_wtd,0.23486558197142818,0.0
180.0,replay_only,kv_wtd,0.1939405158152345,0.0
180.0,replay_only,min_class,0.0,0.0
180.0,replay_only,phi,126.6462764955229,0.0
180.0,replay_only,num_starved,9.0,0.0
180.0,state_only,evac_frac,0.9407192037043695,0.0
180.0,state_only,token_wtd,0.5187884017269625,0.0
180.0,state_only,kv_wtd,0.4551385509971293,0.0
180.0,state_only,min_class,0.0,0.0
180.0,state_only,phi,3.8449830192719445,0.0
180.0,state_only,num_starved,3.0,0.0
180.0,least_loaded,evac_frac,0.7060647721305464,0.0
180.0,least_loaded,token_wtd,0.23486558197142818,0.0
180.0,least_loaded,kv_wtd,0.1939405158152345,0.0
180.0,least_loaded,min_class,0.0,0.0
180.0,least_loaded,phi,103.66405437379393,0.0
180.0,least_loaded,num_starved,9.0,0.0
300.0,optimizer,evac_frac,1.0,0.0
300.0,optimizer,token_wtd,1.0,0.0
300.0,optimizer,kv_wtd,1.0,0.0
300.0,optimizer,min_class,1.0,0.0
300.0,optimizer,phi,0.9333941221789027,0.0
300.0,random,evac_frac,0.990217406999506,0.004293604597648912
300.0,random,token_wtd,0.8738432069945987,0.05462856494123139
300.0,random,kv_wtd,0.8962911290878867,0.03583808081596884
300.0,random,min_class,0.23787006869664776,0.22206966772567033
300.0,random,phi,42.78434274222571,23.071913725909315
300.0,random,num_starved,0.24,0.47159304490206383
300.0,replay_only,evac_frac,0.7506703535415492,0.0
300.0,replay_only,token_wtd,0.3153324710062308,0.0
300.0,replay_only,kv_wtd,0.2619898779281911,0.0
300.0,replay_only,min_class,0.0,0.0
300.0,replay_only,phi,75.98776589731374,0.0
300.0,replay_only,num_starved,7.0,0.0
300.0,state_only,evac_frac,0.9759696069724217,0.0
300.0,state_only,token_wtd,0.6950531376818285,0.0
300.0,state_only,kv_wtd,0.7585642516618821,0.0
