case_id,bound_constraint,constraints,replicate,sessions,target_w,power_bootstrap_index,timing_fit_sha256,bandwidth_projection_regions,fractional_lp_opportunity_w,target_met,feasible,power_shortfall_w,planned_shed_w,predicted_migration_makespan_s,loaded_candidate_count,loaded_pool_count,loaded_selected_count,loaded_context_below_session_count,loaded_context_above_session_count,loaded_context_below_candidate_count,loaded_context_above_candidate_count,loaded_context_below_selected_count,loaded_context_above_selected_count,loaded_bandwidth_below_pool_count,loaded_bandwidth_above_pool_count,loaded_bandwidth_below_candidate_count,loaded_bandwidth_above_candidate_count,loaded_bandwidth_below_selected_count,loaded_bandwidth_above_selected_count,loaded_context_below_replay_selected_count,loaded_context_above_replay_selected_count,loaded_bandwidth_below_replay_selected_count,loaded_bandwidth_above_replay_selected_count,loaded_context_below_kv_transfer_selected_count,loaded_context_above_kv_transfer_selected_count,loaded_bandwidth_below_kv_transfer_selected_count,loaded_bandwidth_above_kv_transfer_selected_count,candidate_matched_pairs,candidate_replay_only,candidate_kv_only,candidate_neither,candidate_replay_dominates,candidate_kv_dominates,candidate_equivalent,candidate_incomparable,replay_count,kv_transfer_count,not_moved_count,replay,kv_transfer,not_moved,replay_phase_load,kv_transfer_phase_load,not_moved_phase_load,route_utilization,service_utilization,hbm_utilization,migration_utilization,binding_resources,failure
bandwidth-dest_compute-hbm,All bound,bandwidth+dest_compute+hbm,3,28,39.91426662467869,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,0,38.888882439698875,False,False,5.688973668249673,34.225292956429016,8.498666850987279,76,2,10,4,13,16,16,3,0,1,0,38,0,4,0,3,0,4,0,0,0,0,0,38,0,0,18,25,0,0,13,10,0,18,0.35714285714285715,0.0,0.6428571428571429,0.7695156050821848,0.0,0.23048439491781525,1.4469770722506666e-05,0.9984692373970501,0.9066666666666666,0.3399466740394911,,target_unmet
none,None bound,none,3,28,39.91426662467869,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,0,59.126883297706314,True,True,0.0,41.661816691608735,9.689234263835036,112,2,8,4,13,16,52,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,56,0,0,0,50,0,0,6,8,0,20,0.2857142857142857,0.0,0.7142857142857143,0.8512757217183425,0.0,0.14872427828165746,4.187308693437576e-06,0.14183103124806695,0.026049973418394476,0.38756937055340146,,
hbm,HBM,hbm,4,28,39.235691548948694,178,60ae3b008ea86a6e69c321136a254153717713f2615b7764ad81eccdeea24ab4,1,41.01178608125855,False,False,4.839579911781399,34.396111637167294,7.594885777468933,76,2,8,0,13,0,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,18,33,0,0,5,8,0,20,0.2857142857142857,0.0,0.7142857142857143,0.8137874722295029,0.0,0.18621252777049713,9.456311099902786e-06,0.10800199207423547,1.0,0.30379543109875734,kv:pool/germany,target_unmet
bandwidth,Bandwidth,bandwidth,4,28,39.235691548948694,178,60ae3b008ea86a6e69c321136a254153717713f2615b7764ad81eccdeea24ab4,1,57.66022089245318,True,True,0.0,43.20359266848041,11.227313875274305,112,2,8,0,13,0,52,0,1,1,0,56,0,0,0,0,1,0,0,0,0,0,0,56,0,0,0,42,0,0,14,8,0,20,0.2857142857142857,0.0,0.7142857142857143,0.8955993471489317,0.0,0.10440065285106825,2.542976e-05,0.22248363910828634,0.04226475279106859,0.4490925550109722,,
dest_compute,Dest. compute,dest_compute,4,28,39.235691548948694,178,60ae3b008ea86a6e69c321136a254153717713f2615b7764ad81eccdeea24ab4,1,29.851790141944093,False,False,21.47998203162524,17.755709517323453,24.201290946151616,108,2,16,0,13,0,48,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,54,0,0,2,36,0,0,18,11,5,12,0.39285714285714285,0.17857142857142858,0.42857142857142855,0.27496768764821766,0.2981426815423811,0.42688963080940123,0.23058475212784751,0.999492656432957,0.11456671982987773,0.9680516378460646,,target_unmet
bandwidth-hbm,HBM + bandwidth,bandwidth+hbm,4,28,39.235691548948694,178,60ae3b008ea86a6e69c321136a254153717713f2615b7764ad81eccdeea24ab4,1,41.01178608125855,False,False,4.839579911781399,34.396111637167294,7.594885777468933,76,2,8,0,13,0,16,0,1,1,0,38,0,2,0,0,1,2,0,0,0,0,0,38,0,0,18,33,0,0,5,8,0,20,0.2857142857142857,0.0,0.7142857142857143,0.8137874722295029,0.0,0.18621252777049713,1.7095017690527298e-05,0.10800199207423547,1.0,0.30379543109875734,kv:pool/germany,target_unmet
dest_compute-hbm,HBM + compute,dest_compute+hbm,4,28,39.235691548948694,178,60ae3b008ea86a6e69c321136a254153717713f2615b7764ad81eccdeea24ab4,1,29.851790141944093,False,False,22.00040766234912,17.235283886599575,6.693499344165747,72,2,8,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,20,27,0,0,9,5,3,20,0.17857142857142858,0.10714285714285714,0.7142857142857143,0.2685386188478544,0.2941844130188103,0.4372769681333353,0.043852781690055326,0.9767793083023493,0.9466666666666667,0.26773997376662984,,target_unmet
bandwidth-dest_compute,Bandwidth + compute,bandwidth+dest_compute,4,28,39.235691548948694,178,60ae3b008ea86a6e69c321136a254153717713f2615b7764ad81eccdeea24ab4,1,29.85179014194412,False,False,19.300781321740203,19.93491022720849,17.749528782082635,108,2,14,0,13,0,48,0,1,1,0,54,0,3,0,0,1,3,0,0,0,0,0,54,0,0,2,36,0,0,18,14,0,14,0.5,0.0,0.5,0.6141523561664772,0.0,0.38584764383352277,4.038528e-05,0.9903513366351758,0.0672514619883041,0.7099811512833053,,target_unmet
bandwidth-dest_compute-hbm,All bound,bandwidth+dest_compute+hbm,4,28,39.235691548948694,178,60ae3b008ea86a6e69c321136a254153717713f2615b7764ad81eccdeea24ab4,1,29.851790141944093,False,False,19.61651622089647,19.619175328052222,8.382154623189415,72,2,9,0,13,0,12,0,0,1,0,36,0,4,0,0,0,4,0,0,0,0,0,36,0,0,20,27,0,0,9,9,0,19,0.32142857142857145,0.0,0.6785714285714286,0.6084390195852719,0.0,0.3915609804147281,1.567673839708346e-05,0.9985401211599891,0.9333333333333335,0.3352861849275766,,target_unmet
none,None bound,none,4,28,39.235691548948694,178,60ae3b008ea86a6e69c321136a254153717713f2615b7764ad81eccdeea24ab4,1,57.94133265144235,True,True,0.0,43.20359266848041,11.227313875274305,112,2,8,0,13,0,52,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,0,0,0,42,0,0,14,8,0,20,0.2857142857142857,0.0,0.7142857142857143,0.8955993471489317,0.0,0.10440065285106825,8.933592902079687e-06,0.22248363910828634,0.04226475279106859,0.4490925550109722,,
