replicate,case_id,bound_constraint,policy,power_bootstrap_index,timing_fit_sha256,target_w,requested_fraction,deadline_s,horizon_s,attainment_time_s,target_met_by_30s
1,dest_compute-hbm,HBM + compute,kv_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,dest_compute-hbm,HBM + compute,replay_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,bandwidth-dest_compute,Bandwidth + compute,queue_haul,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,15.941683601944947,True
1,bandwidth-dest_compute,Bandwidth + compute,greedy,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,19.477318904402733,True
1,bandwidth-dest_compute,Bandwidth + compute,isolated_fastest,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,15.941683601944947,True
1,bandwidth-dest_compute,Bandwidth + compute,kv_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,28.586126160916667,True
1,bandwidth-dest_compute,Bandwidth + compute,replay_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,19.477318904402733,True
1,bandwidth-dest_compute-hbm,All bound,queue_haul,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,12.030100536472219,True
1,bandwidth-dest_compute-hbm,All bound,greedy,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,12.030100536472219,True
1,bandwidth-dest_compute-hbm,All bound,isolated_fastest,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,bandwidth-dest_compute-hbm,All bound,kv_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,bandwidth-dest_compute-hbm,All bound,replay_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,none,None bound,queue_haul,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,13.963190779256129,True
1,none,None bound,greedy,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,16.85944601004917,True
1,none,None bound,isolated_fastest,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,13.963190779256129,True
1,none,None bound,kv_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,28.586126160916667,True
1,none,None bound,replay_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,16.85944601004917,True
2,hbm,HBM,queue_haul,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,12.77207517834383,True
2,hbm,HBM,greedy,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,13.832681933631674,True
2,hbm,HBM,isolated_fastest,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,44.04162501088118,False
2,hbm,HBM,kv_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,20.730311179749997,True
2,hbm,HBM,replay_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,13.832681933631674,True
2,bandwidth,Bandwidth,queue_haul,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,14.370674875004445,True
2,bandwidth,Bandwidth,greedy,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,17.483006887707237,True
2,bandwidth,Bandwidth,isolated_fastest,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,14.370674875004445,True
2,bandwidth,Bandwidth,kv_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,26.413832760749994,True
2,bandwidth,Bandwidth,replay_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,17.483006887707237,True
2,dest_compute,Dest. compute,queue_haul,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
