constraint_state,bound_constraint,requested_fraction,attainment_rate,cases
dest_compute,Dest. compute / bandwidth + compute,0.06,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.07,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.08,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.09,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.1,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.11,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.12,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.13,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.14,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.15,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.16,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.17,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.18,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.19,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.2,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.21,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.22,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.23,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.24,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.25,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.26,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.27,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.28,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.29,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.3,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.31,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.32,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.33,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.34,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.35000000000000003,0.98,100
