campaign,split,deadline_s,scheduler,independent_value,observations,time_to_full_power_s,deadline_attainment_fraction,watts_shed_by_deadline,target_w,replay_action_fraction,kv_transfer_action_fraction,not_moved_action_fraction
bandwidth,mixed,30.0,kv_only,2.5,3,16.431351497999998,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,mixed,30.0,queue_haul,2.5,3,11.265454444,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,replay_only,2.5,3,10.977253267,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,greedy,5.0,3,11.092296077,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,kv_only,5.0,3,11.396571687,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,mixed,30.0,queue_haul,5.0,3,11.007899814,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,replay_only,5.0,3,11.157660853,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,greedy,10.0,3,11.106328041000001,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,kv_only,10.0,3,8.673932438,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,mixed,30.0,queue_haul,10.0,3,9.162837416,1.0,156.50014682302742,156.50014682302742,0.375,0.625,0.0
bandwidth,mixed,30.0,replay_only,10.0,3,10.985169139,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,greedy,1.0,3,7.772131172,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,kv_only,1.0,3,19.236130481,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,small,30.0,queue_haul,1.0,3,8.03255895,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,replay_only,1.0,3,8.071794067999999,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,greedy,2.5,3,7.9548676369999995,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,kv_only,2.5,3,11.06735639,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,small,30.0,queue_haul,2.5,3,7.819509813,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,replay_only,2.5,3,7.978205824,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,greedy,5.0,3,7.8113109519999995,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,kv_only,5.0,3,8.960957923,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,small,30.0,queue_haul,5.0,3,7.7714573520000005,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,replay_only,5.0,3,8.01278582,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,greedy,10.0,3,7.861768843,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,kv_only,10.0,3,7.849656274,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,small,30.0,queue_haul,10.0,3,8.072197774,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,30.0,replay_only,10.0,3,8.05220438,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,greedy,1.0,3,6.775686,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,kv_only,1.0,3,12.363098784,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,tiny,30.0,queue_haul,1.0,3,7.161217474,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,replay_only,1.0,3,6.775501895,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,greedy,2.5,3,6.97049196,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,kv_only,2.5,3,8.643298495,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,tiny,30.0,queue_haul,2.5,3,6.683371999,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,replay_only,2.5,3,6.70595319,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,greedy,5.0,3,6.706496657,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,kv_only,5.0,3,7.278318368,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,tiny,30.0,queue_haul,5.0,3,6.688029157,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,replay_only,5.0,3,6.6432633580000005,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,greedy,10.0,3,6.835040511,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,kv_only,10.0,3,6.647785719,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,tiny,30.0,queue_haul,10.0,3,6.847713833,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,30.0,replay_only,10.0,3,6.687556903,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
