model,workload,density,wan_gbps,deadline_s,policy,service_factor,evaluation,comparator,p05_difference_w,median_difference_w,p95_difference_w,win_fraction
gpt-oss-20b,coding,8,reference,3600,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,5.681067705153911e-09,0.3355
gpt-oss-20b,coding,8,reference,3600,replay_only,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.25
gpt-oss-20b,coding,8,reference,3600,isolated_fastest,1.0,nominal_volume,lp_bound,6231362.465495582,8491058.297017056,10551291.9255207,1.0
gpt-oss-20b,coding,8,reference,3600,isolated_fastest,1.0,nominal_volume,lp_plan,6231362.465495582,8491058.297017056,10551291.925520694,1.0
gpt-oss-20b,coding,8,10,1,lp_plan,1.0,nominal_volume,lp_bound,0.29292974309064657,26.57893708208576,261.6924001231764,1.0
gpt-oss-20b,coding,8,10,1,greedy,1.0,nominal_volume,lp_bound,0.29292974309064657,13.747778181452304,655.4294471084693,1.0
gpt-oss-20b,coding,8,10,1,greedy,1.0,nominal_volume,lp_plan,-193.9590256941004,0.0,471.18507075478243,0.3
gpt-oss-20b,coding,8,10,1,kv_only,1.0,nominal_volume,lp_bound,1617424.651630045,5323611.239604481,8269508.356730204,1.0
gpt-oss-20b,coding,8,10,1,kv_only,1.0,nominal_volume,lp_plan,1617419.3845346766,5323610.710843176,8269080.102314865,1.0
gpt-oss-20b,coding,8,10,1,replay_only,1.0,nominal_volume,lp_bound,0.29292974309064657,28.898667853791267,247.21424795940192,1.0
gpt-oss-20b,coding,8,10,1,replay_only,1.0,nominal_volume,lp_plan,-168.6768078549265,0.0,90.51563088327713,0.35
gpt-oss-20b,coding,8,10,1,isolated_fastest,1.0,nominal_volume,lp_bound,1617424.651630045,5323611.239604481,8269508.356730204,1.0
gpt-oss-20b,coding,8,10,1,isolated_fastest,1.0,nominal_volume,lp_plan,1617419.3845346766,5323610.710843176,8269080.102314865,1.0
gpt-oss-20b,coding,8,10,3,lp_plan,1.0,nominal_volume,lp_bound,17.512195546971817,46.009655740112066,214.37061996229497,1.0
gpt-oss-20b,coding,8,10,3,greedy,1.0,nominal_volume,lp_bound,43.55964490082152,14132.026036710478,195241.8554319781,1.0
gpt-oss-20b,coding,8,10,3,greedy,1.0,nominal_volume,lp_plan,-124.07750099804028,14106.319116991479,195195.1671654042,0.8
gpt-oss-20b,coding,8,10,3,kv_only,1.0,nominal_volume,lp_bound,5060394.922332026,8008545.0330091175,10058937.766680304,1.0
gpt-oss-20b,coding,8,10,3,kv_only,1.0,nominal_volume,lp_plan,5060354.5107411435,8008511.354201043,10058730.058230933,1.0
gpt-oss-20b,coding,8,10,3,replay_only,1.0,nominal_volume,lp_bound,80.73976836660923,136.84996393183246,5219.184121517577,1.0
gpt-oss-20b,coding,8,10,3,replay_only,1.0,nominal_volume,lp_plan,-96.86130780670536,77.46517947455868,5174.761078518277,0.75
gpt-oss-20b,coding,8,10,3,isolated_fastest,1.0,nominal_volume,lp_bound,5060394.922332026,8008545.0330091175,10058937.766680304,1.0
gpt-oss-20b,coding,8,10,3,isolated_fastest,1.0,nominal_volume,lp_plan,5060354.5107411435,8008511.354201043,10058730.058230933,1.0
