model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,snapshots,status,p05_shed_mw,median_shed_mw,p95_shed_mw,median_shed_fraction,workload_p05_mw,workload_p95_mw,median_calibration_width_mw,full_plan_success,p05_completed_sessions,median_completed_sessions,p95_completed_sessions,mean_network_utilization,mean_migration_compute_utilization,mean_serving_utilization,mean_prefill_contention_session_s,mean_prefill_peak_ready_sessions,mean_prefill_ready_at_deadline,mean_prefill_network_blocked_at_deadline,mean_prefill_remaining_gpu_s,mean_planned_shed_mw,mean_kv_utilization,action_counts_mean,action_shed_mw_mean,mean_not_completed,network_budget_gbps_median
gpt-oss-20b,coding,8,reference,300,replay_only,1.0,4000,20,complete,4.581146250335395,9.743262645822904,11.195456557718733,0.8162082374387274,4.58357033584467,11.195460585990805,0.11139951238878723,0.0,498252.6500000001,511328.0,523320.99999999977,"[0.023355398498313383, 0.04242931589046384, 0.03835850660953944]","[0.004351985061350547, 0.033051497989855086]","[0.9956116771668622, 0.8043883228331387]","[17024495.260095697, 9275827.029840995]","[96740.43549999999, 293418.11199999996]","[21222.55, 0.0]","[0.0, 0.0]","[725.6973439897116, 6.702193795608825e-13]",11.938768954849396,"[0.04530852338337406, 0.08988723496896911]","[77724.75, 0.0, 434380.7, 0.0]","[4.273153983370238, 0.0, 4.543828814777751, 0.0]",21222.55,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,300,replay_only,1.2,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,1.0,11.87749207273382,12.000045836964972,0.13648418048114888,1.0,533328.0,533328.0,533328.0,"[0.023355398498313383, 0.04242931589046384, 0.03835850660953944]","[0.003656891909501946, 0.027542914991545892]","[0.8296763976390507, 0.670323602360949]","[163897.84302711234, 3515318.463126368]","[49304.3, 250648.56749999998]","[0.0, 0.0]","[0.0, 0.0]","[1.1715796507851676e-13, 3.7349213413868936e-13]",11.938768954849396,"[0.04530852338337406, 0.08988723496896911]","[98947.3, 0.0, 434380.7, 0.0]","[7.398358751360389, 0.0, 4.543828814777751, 0.0]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,300,isolated_fastest,0.8,4000,20,complete,0.04344798782780522,0.21786515429322892,0.5557111460084931,0.018155360175551707,0.15690771319030172,0.4570138251531324,0.27094106250739836,0.32599999999999996,318.0,1525.0,7412.0,"[0.9904048222249779, 0.9949850298228867, 0.9938314641169619]","[0.0, 0.0]","[0.6314385756446759, 0.6496781608936706]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.3714955281602341,"[0.03758047621663966, 0.037654370373415076]","[0.0, 568.34325, 0.0, 2123.1112500000004]","[0.0, 0.05125117446517193, 0.0, 0.19512949081609893]",530636.5455,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,300,isolated_fastest,1.0,4000,20,complete,0.04344798782780522,0.21786515429322892,0.5557111460084931,0.018155360175551707,0.15690771319030172,0.4570138251531324,0.27094106250739836,0.32599999999999996,318.0,1525.0,7412.0,"[0.9904048222249779, 0.9949850298228867, 0.9938314641169619]","[0.0, 0.0]","[0.5051508605157405, 0.5197425287149369]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.3714955281602341,"[0.03758047621663966, 0.037654370373415076]","[0.0, 568.34325, 0.0, 2123.1112500000004]","[0.0, 0.05125117446517193, 0.0, 0.19512949081609893]",530636.5455,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,300,isolated_fastest,1.2,4000,20,complete,0.04344798782780522,0.21786515429322892,0.5557111460084931,0.018155360175551707,0.15690771319030172,0.4570138251531324,0.27094106250739836,0.32599999999999996,318.0,1525.0,7412.0,"[0.9904048222249779, 0.9949850298228867, 0.9938314641169619]","[0.0, 0.0]","[0.4209590504297833, 0.433118773929114]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.3714955281602341,"[0.03758047621663966, 0.037654370373415076]","[0.0, 568.34325, 0.0, 2123.1112500000004]","[0.0, 0.05125117446517193, 0.0, 0.19512949081609893]",530636.5455,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,queue_haul,0.8,4000,20,complete,0.0,0.0,2.8195288312627736e-05,0.0,0.0,2.8286167378365996e-05,0.0,0.0,0.0,0.0,4.399999999997817,"[0.0248139043932341, 0.0062942905572826125, 0.010214187222563289]","[3.129178239131736e-07, 1.5748047924377896e-07]","[0.9999996849663381, 0.999999842177564]","[113753512.55306289, 97445590.22098535]","[192750.75, 163334.4]","[192750.75, 163334.4]","[0.0, 0.0]","[206036.07538297, 202238.42384070286]",11.938768954849396,"[0.05242202767575843, 0.05227942438454053]","[0.0, 0.6, 0.0, 0.3]","[0.0, 9.386563611509098e-06, 0.0, 1.5287549929507804e-06]",533327.1,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,queue_haul,1.0,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,1.0,11.87749207273382,12.000045836964974,0.13648418048114702,1.0,533328.0,533328.0,533328.0,"[0.8147281307759526, 0.8411764806444229, 0.8349568626594929]","[0.009222519794516233, 0.009415654430350577]","[0.9001016762734686, 0.8998983237265303]","[4725180.775304786, 7721197.52187687]","[140044.51200000002, 219029.88200000004]","[0.0, 0.0]","[0.0, 0.0]","[6.817977454311175e-13, 3.7840756493979356e-13]",11.938768954849396,"[0.06699567786515034, 0.06820008048719259]","[275932.5, 193.2, 256430.0, 772.3]","[5.96962954849023, 0.0029814265307577087, 5.957653056852004, 0.011923534265152625]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,queue_haul,1.2,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,1.0,11.87749207273382,12.000045836964974,0.13648418048114702,1.0,533328.0,533328.0,533328.0,"[0.8147281307759524, 0.8411764806444229, 0.8349568626594929]","[0.007685433162096876, 0.007846378691958816]","[0.7500847302278906, 0.7499152697721096]","[839535.7830699648, 1803900.323610983]","[101220.90075, 166452.72925000003]","[0.0, 0.0]","[0.0, 0.0]","[6.496065621183765e-13, 2.073627783155327e-13]",11.938768954849396,"[0.06699567786515034, 0.06820008048719259]","[275932.5, 193.2, 256430.0, 772.3]","[5.96962954849023, 0.0029814265307577087, 5.957653056852004, 0.011923534265152625]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,greedy,0.8,4000,20,complete,0.0,0.0,3.1156149933955873e-07,0.0,0.0,3.1496093777231836e-07,0.0,0.0,0.0,0.0,0.04999999999972715,"[0.005903245921759982, 0.020766441952488328, 0.017602939221726076]","[4.156270222078787e-06, 7.752858396244146e-07]","[0.9999958374387159, 0.9999992218406428]","[42624631.34046447, 253554755.43350482]","[71418.65, 428971.25]","[71418.65, 428971.25]","[0.0, 0.0]","[48489.54339611193, 804933.9766144507]",11.938768954849396,"[0.0414749825807928, 0.08878217294128929]","[0.05, 0.0, 0.0, 0.0]","[3.134472958470079e-07, 0.0, 0.0, 0.0]",533327.95,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,greedy,1.0,4000,20,complete,4.5806085619036345,9.743262645822904,11.165404886333178,0.8162082374387275,4.583032959323327,11.165412204159404,0.11139951238878816,0.0,497862.1000000001,511328.0,523058.8499999998,"[0.011794073000417694, 0.021183293536747312, 0.019179253304769724]","[0.002210589643049243, 0.01650008207250509]","[0.9977801660296347, 0.8022198339703659]","[34972701.89956152, 9114978.357498208]","[99502.55, 291910.5605]","[21486.15, 0.0]","[0.0, 0.0]","[368.4933180049613, 7.50848400302327e-13]",11.938768954849396,"[0.045385822574091406, 0.08980993577825172]","[78018.3, 0.0, 433823.55, 0.0]","[4.2853386128498405, 0.0, 4.511457818668631, 0.0]",21486.15,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,greedy,1.2,4000,20,complete,11.87052686460882,12.000045836964969,12.007011045089971,1.0,11.877492072733823,12.000045836964972,0.13648418048114888,1.0,533328.0,533328.0,533328.0,"[0.011794073000417694, 0.021183293536747312, 0.01917925330476972]","[0.001849835056769679, 0.013750068393754242]","[0.8314834716913619, 0.6685165283086386]","[172653.13358685598, 3477229.3578654164]","[49605.65, 250323.5375]","[0.0, 0.0]","[0.0, 0.0]","[5.4642285054334884e-14, 3.9318089062323483e-13]",11.938768954849396,"[0.045385822574091406, 0.08980993577825172]","[99504.45, 0.0, 433823.55, 0.0]","[7.4307297474695115, 0.0, 4.511457818668631, 0.0]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,kv_only,0.8,4000,20,complete,0.08693576319025129,0.43573030858645784,1.1114222920169863,0.036310720351103415,0.31384062926659134,0.9140276503062648,0.5419759103782056,0.32599999999999996,632.9000000000001,3044.0,14825.0,"[0.9905504573339374, 0.9950098868597314, 0.993882724848848]","[0.0, 0.0]","[0.6378838468260847, 0.6743618567827819]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.7431370738182981,"[0.03760658676815755, 0.03775437162022234]","[0.0, 1136.40325, 0.0, 4245.782499999999]","[0.0, 0.10254684352120813, 0.0, 0.39029504274820465]",527945.8142499999,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,kv_only,1.0,4000,20,complete,0.08693576319025129,0.43573030858645784,1.1114222920169863,0.036310720351103415,0.31384062926659134,0.9140276503062648,0.5419759103782056,0.32599999999999996,632.9000000000001,3044.0,14825.0,"[0.9905504573339374, 0.9950098868597314, 0.993882724848848]","[0.0, 0.0]","[0.510307077460868, 0.5394894854262258]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.7431370738182981,"[0.03760658676815755, 0.03775437162022234]","[0.0, 1136.40325, 0.0, 4245.782499999999]","[0.0, 0.10254684352120813, 0.0, 0.39029504274820465]",527945.8142499999,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,kv_only,1.2,4000,20,complete,0.08693576319025129,0.43573030858645784,1.1114222920169863,0.036310720351103415,0.31384062926659134,0.9140276503062648,0.5419759103782056,0.32599999999999996,632.9000000000001,3044.0,14825.0,"[0.9905504573339374, 0.9950098868597314, 0.993882724848848]","[0.0, 0.0]","[0.42525589788405727, 0.4495745711885208]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.7431370738182981,"[0.03760658676815755, 0.03775437162022234]","[0.0, 1136.40325, 0.0, 4245.782499999999]","[0.0, 0.10254684352120813, 0.0, 0.39029504274820465]",527945.8142499999,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,replay_only,0.8,4000,20,complete,0.0,0.0,3.1156149933955873e-07,0.0,0.0,3.1496093777231836e-07,0.0,0.0,0.0,0.0,0.04999999999972715,"[0.005903245921759982, 0.020766441952488328, 0.017602939221726076]","[4.156270222078787e-06, 7.752858396244146e-07]","[0.9999958374387159, 0.9999992218406428]","[42624631.34046447, 253554755.43350482]","[71418.65, 428971.25]","[71418.65, 428971.25]","[0.0, 0.0]","[48489.54339611193, 804933.9766144507]",11.938768954849396,"[0.0414749825807928, 0.08878217294128929]","[0.05, 0.0, 0.0, 0.0]","[3.134472958470079e-07, 0.0, 0.0, 0.0]",533327.95,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,replay_only,1.0,4000,20,complete,4.5806085619036345,9.743262645822904,11.165404886333178,0.8162082374387275,4.583032959323327,11.165412204159404,0.11139951238878816,0.0,497862.1000000001,511328.0,523058.8499999998,"[0.011794073000417694, 0.021183293536747312, 0.019179253304769724]","[0.002210589643049243, 0.01650008207250509]","[0.9977801660296347, 0.8022198339703659]","[34972701.89956152, 9114978.357498208]","[99502.55, 291910.5605]","[21486.15, 0.0]","[0.0, 0.0]","[368.4933180049613, 7.50848400302327e-13]",11.938768954849396,"[0.045385822574091406, 0.08980993577825172]","[78018.3, 0.0, 433823.55, 0.0]","[4.2853386128498405, 0.0, 4.511457818668631, 0.0]",21486.15,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,replay_only,1.2,4000,20,complete,11.87052686460882,12.000045836964969,12.007011045089971,1.0,11.877492072733823,12.000045836964972,0.13648418048114888,1.0,533328.0,533328.0,533328.0,"[0.011794073000417694, 0.021183293536747312, 0.01917925330476972]","[0.001849835056769679, 0.013750068393754242]","[0.8314834716913619, 0.6685165283086386]","[172653.13358685598, 3477229.3578654164]","[49605.65, 250323.5375]","[0.0, 0.0]","[0.0, 0.0]","[5.4642285054334884e-14, 3.9318089062323483e-13]",11.938768954849396,"[0.045385822574091406, 0.08980993577825172]","[99504.45, 0.0, 433823.55, 0.0]","[7.4307297474695115, 0.0, 4.511457818668631, 0.0]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,isolated_fastest,0.8,4000,20,complete,0.08693576319025129,0.43573030858645784,1.1114222920169863,0.036310720351103415,0.31384062926659134,0.9140276503062648,0.5419759103782056,0.32599999999999996,632.9000000000001,3044.0,14825.0,"[0.9905504573339374, 0.9950098868597314, 0.993882724848848]","[0.0, 0.0]","[0.6378838468260847, 0.6743618567827819]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.7431370738182981,"[0.03760658676815755, 0.03775437162022234]","[0.0, 1136.40325, 0.0, 4245.782499999999]","[0.0, 0.10254684352120813, 0.0, 0.39029504274820465]",527945.8142499999,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,isolated_fastest,1.0,4000,20,complete,0.08693576319025129,0.43573030858645784,1.1114222920169863,0.036310720351103415,0.31384062926659134,0.9140276503062648,0.5419759103782056,0.32599999999999996,632.9000000000001,3044.0,14825.0,"[0.9905504573339374, 0.9950098868597314, 0.993882724848848]","[0.0, 0.0]","[0.510307077460868, 0.5394894854262258]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.7431370738182981,"[0.03760658676815755, 0.03775437162022234]","[0.0, 1136.40325, 0.0, 4245.782499999999]","[0.0, 0.10254684352120813, 0.0, 0.39029504274820465]",527945.8142499999,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,600,isolated_fastest,1.2,4000,20,complete,0.08693576319025129,0.43573030858645784,1.1114222920169863,0.036310720351103415,0.31384062926659134,0.9140276503062648,0.5419759103782056,0.32599999999999996,632.9000000000001,3044.0,14825.0,"[0.9905504573339374, 0.9950098868597314, 0.993882724848848]","[0.0, 0.0]","[0.42525589788405727, 0.4495745711885208]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.7431370738182981,"[0.03760658676815755, 0.03775437162022234]","[0.0, 1136.40325, 0.0, 4245.782499999999]","[0.0, 0.10254684352120813, 0.0, 0.39029504274820465]",527945.8142499999,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,queue_haul,0.8,4000,20,complete,0.0,0.0,1.1817071031927563e-05,0.0,0.0,1.1721546263589628e-05,0.0,0.0,0.0,0.0,2.1999999999989086,"[0.007087806024191778, 0.0021078467456783043, 0.0031616936772448957]","[3.1509115401185e-07, 1.0884665693714723e-07]","[0.9999996841999822, 0.9999998910338078]","[331955103.1844864, 295466396.41956055]","[185392.85, 164446.0]","[185392.85, 164446.0]","[0.0, 0.0]","[195349.684678231, 198372.5734326235]",11.938768954849396,"[0.05167173504820601, 0.05209169186124283]","[0.0, 0.0, 0.0, 0.4]","[0.0, 0.0, 0.0, 2.0225311752800437e-06]",533327.6,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,queue_haul,1.0,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,1.0,11.877492072733817,12.000045836964974,0.13648418048114888,1.0,533328.0,533328.0,533328.0,"[0.8035031130039052, 0.828741209539961, 0.8227871080761702]","[0.002970185358586672, 0.0031880046312099466]","[0.9001135549352568, 0.8998864450647428]","[4399990.207252087, 7857051.678688844]","[134221.68375, 219996.21100000004]","[0.0, 0.0]","[0.0, 0.0]","[5.575493360998174e-13, 3.140059376795582e-13]",11.938768954849396,"[0.0662028215471812, 0.06899293680516186]","[269391.85, 593.7, 261037.45, 2305.0]","[5.963621323131391, 0.009167252778395205, 5.933820341602315, 0.03557864862604283]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,queue_haul,1.2,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,1.0,11.877492072733817,12.000045836964974,0.13648418048114888,1.0,533328.0,533328.0,533328.0,"[0.8035031130039052, 0.828741209539961, 0.8227871080761702]","[0.002475154465488896, 0.002656670526008287]","[0.7500946291127143, 0.749905370887286]","[775557.6590303461, 1826727.8620447617]","[97955.28150000001, 168217.48825]","[0.0, 0.0]","[0.0, 0.0]","[3.332700391697751e-13, 2.2795428652327974e-13]",11.938768954849396,"[0.0662028215471812, 0.06899293680516186]","[269391.85, 593.7, 261037.45, 2305.0]","[5.963621323131391, 0.009167252778395205, 5.933820341602315, 0.03557864862604283]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,greedy,0.8,4000,20,complete,0.0,0.0,1.5511292099886292e-05,0.0,0.0,1.5512574569756976e-05,0.0,0.0,0.0,0.0,2.0999999999994543,"[0.00196913177060028, 0.0070073608531226505, 0.0059350244466126745]","[5.7865481997921685e-06, 6.412449640011555e-07]","[0.9999942104483358, 0.9999993580063407]","[128322788.89693084, 773506396.233567]","[71416.75, 431892.7]","[71416.71775, 431892.7]","[0.0, 0.0]","[48014.48534812604, 817294.4635463201]",11.938768954849396,"[0.041477738870902045, 0.08941248925636887]","[0.38225, 0.0, 0.0, 0.0]","[2.0664345226671383e-06, 0.0, 0.0, 0.0]",533327.61775,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,greedy,1.0,4000,20,complete,4.580237902962924,10.015911335233591,11.392125739880505,0.8356960969470737,4.582662515400047,11.395690000452714,0.11405929692311585,0.0,497597.00000000006,511328.0,523043.44999999984,"[0.003957679744200039, 0.007054003476231116, 0.0063930844349232435]","[0.0007449209879001398, 0.005494025743759688]","[0.999254040769441, 0.8007459592305594]","[106782322.77290872, 9005621.42919751]","[99805.6, 290838.5405]","[20595.95, 0.0]","[0.0, 0.0]","[121.75660839101332, 5.56313371671141e-13]",11.938768954849396,"[0.045438275030946676, 0.0897574833213965]","[79210.65, 0.0, 433521.4, 0.0]","[4.402801455438592, 0.0, 4.489455950160271, 0.0]",20595.95,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,greedy,1.2,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,1.0,11.877492072733821,12.000045836964972,0.13648418048114797,1.0,533328.0,533328.0,533328.0,"[0.003957679744200038, 0.007054003476231116, 0.0063930844349232435]","[0.0006216130303749025, 0.004578354786466404]","[0.832711700641201, 0.6672882993587991]","[179021.53557417315, 3450380.559941235]","[49814.5, 250061.0375]","[0.0, 0.0]","[0.0, 0.0]","[2.507710358812254e-14, 3.0646859702776467e-13]",11.938768954849396,"[0.045438275030946676, 0.0897574833213965]","[99806.6, 0.0, 433521.4, 0.0]","[7.4527316159778705, 0.0, 4.489455950160271, 0.0]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,kv_only,0.8,4000,20,complete,0.38609072227689,1.30404276132503,2.9130682137235793,0.10860677619333853,0.7418581930462104,2.561392220549768,1.275051030304024,0.32599999999999996,1889.0,17202.0,28963.0,"[0.9906293553726803, 0.9950288005664847, 0.9939148511252098]","[0.0, 0.0]","[0.6636644653369738, 0.7506643958455654]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",1.9618843062718523,"[0.03771102604131771, 0.03815822372842627]","[0.0, 3408.0415000000003, 0.0, 12432.07775]","[0.0, 0.30771943542525626, 0.0, 1.1213502478187474]",517487.8807500001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,kv_only,1.0,4000,20,complete,0.38609072227689,1.30404276132503,2.9130682137235793,0.10860677619333853,0.7418581930462104,2.561392220549768,1.275051030304024,0.32599999999999996,1889.0,17202.0,28963.0,"[0.9906293553726803, 0.9950288005664847, 0.9939148511252098]","[0.0, 0.0]","[0.5309315722695789, 0.6005315166764522]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",1.9618843062718523,"[0.03771102604131771, 0.03815822372842627]","[0.0, 3408.0415000000003, 0.0, 12432.07775]","[0.0, 0.30771943542525626, 0.0, 1.1213502478187474]",517487.8807500001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,kv_only,1.2,4000,20,complete,0.38609072227689,1.30404276132503,2.9130682137235793,0.10860677619333853,0.7418581930462104,2.561392220549768,1.275051030304024,0.32599999999999996,1889.0,17202.0,28963.0,"[0.9906293553726803, 0.9950288005664847, 0.9939148511252098]","[0.0, 0.0]","[0.4424429768913158, 0.5004429305637107]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",1.9618843062718523,"[0.03771102604131771, 0.03815822372842627]","[0.0, 3408.0415000000003, 0.0, 12432.07775]","[0.0, 0.30771943542525626, 0.0, 1.1213502478187474]",517487.8807500001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,replay_only,0.8,4000,20,complete,0.0,0.0,1.5511292099886292e-05,0.0,0.0,1.5512574569756976e-05,0.0,0.0,0.0,0.0,2.0999999999994543,"[0.00196913177060028, 0.0070073608531226505, 0.0059350244466126745]","[5.7865481997921685e-06, 6.412449640011555e-07]","[0.9999942104483358, 0.9999993580063407]","[128322788.89693084, 773506396.233567]","[71416.75, 431892.7]","[71416.71775, 431892.7]","[0.0, 0.0]","[48014.48534812604, 817294.4635463201]",11.938768954849396,"[0.041477738870902045, 0.08941248925636887]","[0.38225, 0.0, 0.0, 0.0]","[2.0664345226671383e-06, 0.0, 0.0, 0.0]",533327.61775,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,replay_only,1.0,4000,20,complete,4.580237902962924,10.015911335233591,11.392125739880505,0.8356960969470737,4.582662515400047,11.395690000452714,0.11405929692311585,0.0,497597.00000000006,511328.0,523043.44999999984,"[0.003957679744200039, 0.007054003476231116, 0.0063930844349232435]","[0.0007449209879001398, 0.005494025743759688]","[0.999254040769441, 0.8007459592305594]","[106782322.77290872, 9005621.42919751]","[99805.6, 290838.5405]","[20595.95, 0.0]","[0.0, 0.0]","[121.75660839101332, 5.56313371671141e-13]",11.938768954849396,"[0.045438275030946676, 0.0897574833213965]","[79210.65, 0.0, 433521.4, 0.0]","[4.402801455438592, 0.0, 4.489455950160271, 0.0]",20595.95,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,replay_only,1.2,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,1.0,11.877492072733821,12.000045836964972,0.13648418048114797,1.0,533328.0,533328.0,533328.0,"[0.003957679744200038, 0.007054003476231116, 0.0063930844349232435]","[0.0006216130303749025, 0.004578354786466404]","[0.832711700641201, 0.6672882993587991]","[179021.53557417315, 3450380.559941235]","[49814.5, 250061.0375]","[0.0, 0.0]","[0.0, 0.0]","[2.507710358812254e-14, 3.0646859702776467e-13]",11.938768954849396,"[0.045438275030946676, 0.0897574833213965]","[99806.6, 0.0, 433521.4, 0.0]","[7.4527316159778705, 0.0, 4.489455950160271, 0.0]",0.0,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,0.8,4000,20,complete,0.38609072227689,1.30404276132503,2.9130682137235793,0.10860677619333853,0.7418581930462104,2.561392220549768,1.275051030304024,0.32599999999999996,1889.0,17202.0,28963.0,"[0.9906293553726803, 0.9950288005664847, 0.9939148511252098]","[0.0, 0.0]","[0.6636644653369738, 0.7506643958455654]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",1.9618843062718523,"[0.03771102604131771, 0.03815822372842627]","[0.0, 3408.0415000000003, 0.0, 12432.07775]","[0.0, 0.30771943542525626, 0.0, 1.1213502478187474]",517487.8807500001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,1.0,4000,20,complete,0.38609072227689,1.30404276132503,2.9130682137235793,0.10860677619333853,0.7418581930462104,2.561392220549768,1.275051030304024,0.32599999999999996,1889.0,17202.0,28963.0,"[0.9906293553726803, 0.9950288005664847, 0.9939148511252098]","[0.0, 0.0]","[0.5309315722695789, 0.6005315166764522]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",1.9618843062718523,"[0.03771102604131771, 0.03815822372842627]","[0.0, 3408.0415000000003, 0.0, 12432.07775]","[0.0, 0.30771943542525626, 0.0, 1.1213502478187474]",517487.8807500001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,1.2,4000,20,complete,0.38609072227689,1.30404276132503,2.9130682137235793,0.10860677619333853,0.7418581930462104,2.561392220549768,1.275051030304024,0.32599999999999996,1889.0,17202.0,28963.0,"[0.9906293553726803, 0.9950288005664847, 0.9939148511252098]","[0.0, 0.0]","[0.4424429768913158, 0.5004429305637107]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",1.9618843062718523,"[0.03771102604131771, 0.03815822372842627]","[0.0, 3408.0415000000003, 0.0, 12432.07775]","[0.0, 0.30771943542525626, 0.0, 1.1213502478187474]",517487.8807500001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3600,queue_haul,0.8,4000,20,complete,0.0,0.0,1.1571691620440314e-05,0.0,0.0,1.1473489524500009e-05,0.0,0.0,0.0,0.0,2.1499999999991815,"[0.003755233519164375, 0.0010411140107456278, 0.0016153844820743029]","[1.8787455589775803e-07, 8.86552266319247e-08]","[0.999999811905911, 0.9999999113105306]","[677797353.4704067, 601271686.2571434]","[188802.4, 167164.65]","[188802.4, 167164.65]","[0.0, 0.0]","[208591.3225222513, 196308.6197708421]",11.938768954849396,"[0.05251258925597074, 0.05203026748683302]","[0.0, 0.0, 0.0, 0.35]","[0.0, 0.0, 0.0, 1.775643084115412e-06]",533327.65,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
