model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,p05_qh_minus_baseline_w,median_qh_minus_baseline_w,p95_qh_minus_baseline_w,qh_win_fraction
gpt-oss-20b,coding,8,reference,120,isolated_fastest,1.2,4000,11677107.826249773,11845286.24568033,11982479.28104953,1.0
gpt-oss-20b,coding,8,reference,300,greedy,0.8,4000,0.0,0.0,4.984950633162507,0.1
gpt-oss-20b,coding,8,reference,300,greedy,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.187
gpt-oss-20b,coding,8,reference,300,greedy,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.187
gpt-oss-20b,coding,8,reference,300,kv_only,0.8,4000,-555705.7632690908,-217865.15429322893,-43447.98782780522,0.0
gpt-oss-20b,coding,8,reference,300,kv_only,1.0,4000,11347959.178493256,11711126.35284958,11950125.37496255,1.0
gpt-oss-20b,coding,8,reference,300,kv_only,1.2,4000,11347959.178493256,11711126.35284958,11950125.37496255,1.0
gpt-oss-20b,coding,8,reference,300,replay_only,0.8,4000,0.0,0.0,4.984950633162507,0.1
gpt-oss-20b,coding,8,reference,300,replay_only,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.187
gpt-oss-20b,coding,8,reference,300,replay_only,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.187
gpt-oss-20b,coding,8,reference,300,isolated_fastest,0.8,4000,-555705.7632690908,-217865.15429322893,-43447.98782780522,0.0
gpt-oss-20b,coding,8,reference,300,isolated_fastest,1.0,4000,11347959.178493256,11711126.35284958,11950125.37496255,1.0
gpt-oss-20b,coding,8,reference,300,isolated_fastest,1.2,4000,11347959.178493256,11711126.35284958,11950125.37496255,1.0
gpt-oss-20b,coding,8,reference,600,greedy,0.8,4000,0.0,0.0,19.541330458243053,0.1
gpt-oss-20b,coding,8,reference,600,greedy,1.0,4000,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.4655
gpt-oss-20b,coding,8,reference,600,greedy,1.2,4000,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.4655
gpt-oss-20b,coding,8,reference,600,kv_only,0.8,4000,-1111422.2920169863,-435730.30858645786,-86935.76319025128,0.0
gpt-oss-20b,coding,8,reference,600,kv_only,1.0,4000,10818422.985822257,11501519.32746616,11893197.629635336,1.0
gpt-oss-20b,coding,8,reference,600,kv_only,1.2,4000,10818422.985822257,11501519.32746616,11893197.629635336,1.0
gpt-oss-20b,coding,8,reference,600,replay_only,0.8,4000,0.0,0.0,19.541330458243053,0.1
gpt-oss-20b,coding,8,reference,600,replay_only,1.0,4000,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.4655
gpt-oss-20b,coding,8,reference,600,replay_only,1.2,4000,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.4655
gpt-oss-20b,coding,8,reference,600,isolated_fastest,0.8,4000,-1111422.2920169863,-435730.30858645786,-86935.76319025128,0.0
gpt-oss-20b,coding,8,reference,600,isolated_fastest,1.0,4000,10818422.985822257,11501519.32746616,11893197.629635336,1.0
gpt-oss-20b,coding,8,reference,600,isolated_fastest,1.2,4000,10818422.985822257,11501519.32746616,11893197.629635336,1.0
gpt-oss-20b,coding,8,reference,1800,greedy,0.8,4000,0.0,0.0,0.7361382344617499,0.05
gpt-oss-20b,coding,8,reference,1800,greedy,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.27775
gpt-oss-20b,coding,8,reference,1800,greedy,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.27775
gpt-oss-20b,coding,8,reference,1800,kv_only,0.8,4000,-2913068.2137235794,-1269369.2301550794,-274492.13170552964,0.0
gpt-oss-20b,coding,8,reference,1800,kv_only,1.0,4000,9036367.395610893,10672234.638502875,11658379.153015677,1.0
