timestamp, uuid, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/10 01:41:25.041, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.25 W, 0 %, 61438 MiB
2026/09/10 01:41:26.041, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.45 W, 0 %, 61438 MiB
2026/09/10 01:41:27.041, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:41:28.041, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:41:29.042, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:41:30.042, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:41:31.042, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.45 W, 0 %, 61438 MiB
2026/09/10 01:41:32.042, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.46 W, 0 %, 61438 MiB
2026/09/10 01:41:33.043, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.55 W, 0 %, 61438 MiB
2026/09/10 01:41:34.043, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.49 W, 0 %, 61438 MiB
2026/09/10 01:41:35.043, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.45 W, 0 %, 61438 MiB
2026/09/10 01:41:36.043, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.59 W, 0 %, 61438 MiB
2026/09/10 01:41:37.044, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.44 W, 0 %, 61438 MiB
2026/09/10 01:41:38.044, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.54 W, 0 %, 61438 MiB
2026/09/10 01:41:39.044, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:41:40.044, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 61438 MiB
2026/09/10 01:41:41.044, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:41:42.045, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.44 W, 0 %, 61438 MiB
2026/09/10 01:41:43.045, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.19 W, 0 %, 61438 MiB
2026/09/10 01:41:44.045, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:41:45.045, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.44 W, 0 %, 61438 MiB
2026/09/10 01:41:46.046, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.35 W, 0 %, 61438 MiB
2026/09/10 01:41:47.046, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.69 W, 0 %, 61438 MiB
2026/09/10 01:41:48.046, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:41:49.046, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 61438 MiB
2026/09/10 01:41:50.047, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:41:51.047, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.80 W, 0 %, 61438 MiB
2026/09/10 01:41:52.047, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.35 W, 0 %, 61438 MiB
2026/09/10 01:41:53.047, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.69 W, 0 %, 61438 MiB
2026/09/10 01:41:54.047, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.62 W, 0 %, 61438 MiB
2026/09/10 01:41:55.048, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.80 W, 0 %, 61438 MiB
2026/09/10 01:41:56.048, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.26 W, 0 %, 61438 MiB
2026/09/10 01:41:57.048, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 61438 MiB
2026/09/10 01:41:58.048, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:41:59.048, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:00.049, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:42:01.049, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:02.049, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:42:03.049, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:04.049, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:42:05.050, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:06.050, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.54 W, 0 %, 61438 MiB
2026/09/10 01:42:07.050, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:42:08.051, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.59 W, 0 %, 61438 MiB
2026/09/10 01:42:09.051, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:42:10.051, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:11.051, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:42:12.051, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:42:13.052, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:42:14.052, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.03 W, 0 %, 61438 MiB
2026/09/10 01:42:15.052, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.69 W, 0 %, 61438 MiB
2026/09/10 01:42:16.052, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:17.052, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.29 W, 0 %, 61438 MiB
2026/09/10 01:42:18.052, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.69 W, 0 %, 61438 MiB
2026/09/10 01:42:19.053, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.56 W, 0 %, 61438 MiB
2026/09/10 01:42:20.053, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 61438 MiB
2026/09/10 01:42:21.053, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.80 W, 0 %, 61438 MiB
2026/09/10 01:42:22.053, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:42:23.053, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 61438 MiB
2026/09/10 01:42:24.054, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.55 W, 0 %, 61438 MiB
2026/09/10 01:42:25.054, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.31 W, 0 %, 61438 MiB
2026/09/10 01:42:26.054, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:27.054, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:28.054, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:42:29.055, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:30.055, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 61438 MiB
2026/09/10 01:42:31.055, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:42:32.055, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:42:33.055, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
