cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,policy,exact_p50_resume_s,aggregate_p50_resume_s,relative_p50_error,exact_dominant_bottleneck,aggregate_dominant_bottleneck,bottleneck_agrees,exact_best_policy,aggregate_best_policy,best_policy_agrees
n100_medium_tight_1g,100,medium,tight,1,strong_reuse,401.346412,200,0.501677369,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n100_medium_tight_1g,100,medium,tight,1,workspace_sticky,50.0012067,25,0.500012066,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n100_medium_tight_25g,100,medium,tight,25,kv_all,41.1728573,25,0.39280386,network,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_tight_25g,100,medium,tight,25,mixed_min_pressure,25.7564916,13.25,0.485566582,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n100_medium_tight_25g,100,medium,tight,25,random_diversification,23.51047,13.25,0.436421304,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n100_medium_tight_25g,100,medium,tight,25,replay_all,50.0012067,25,0.500012066,prefill,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_tight_25g,100,medium,tight,25,strong_reuse,41.1728573,25,0.39280386,network,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_tight_25g,100,medium,tight,25,workspace_sticky,49.9249809,25,0.499248682,network,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_tight_100g,100,medium,tight,100,kv_all,49.0098714,25,0.489898682,network,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_tight_100g,100,medium,tight,100,mixed_min_pressure,24.4923765,13,0.469222596,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n100_medium_tight_100g,100,medium,tight,100,random_diversification,23.5828439,13.25,0.438150884,workspace,workspace,True,random_diversification,mixed_min_pressure,False
