cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,best_policy,best_p50_resume_s,dominant_bottleneck,strong_reuse_p50_resume_s,mixed_p50_resume_s,mixed_vs_strong_reuse_gap_frac
n10_swe_bench_tight_25g,10,swe_bench,tight,25,mixed_min_pressure,0.63660490752,network,1.7558356992,0.63660490752,0.6374348079321703
n10_swe_bench_tight_5g,10,swe_bench,tight,5,mixed_min_pressure,1.1241333333333334,prefill,2.51075,1.1241333333333334,0.5522718975073848
n10_tiny_loose_100g,10,tiny,loose,100,mixed_min_pressure,0.09385333333333333,prefill,0.251075,0.09385333333333333,0.6261940323276577
n10_tiny_loose_1g,10,tiny,loose,1,mixed_min_pressure,0.12638166666666667,network,1.2,0.12638166666666667,0.8946819444444445
n10_tiny_loose_25g,10,tiny,loose,25,mixed_min_pressure,0.12040166666666667,prefill,0.251075,0.12040166666666667,0.5204553752198877
n10_tiny_loose_5g,10,tiny,loose,5,mixed_min_pressure,0.12638166666666667,prefill,0.251075,0.12638166666666667,0.49663779083275245
n10_tiny_moderate_100g,10,tiny,moderate,100,mixed_min_pressure,0.15915122688,network,0.4377589248,0.15915122688,0.6364409316093057
n10_tiny_moderate_1g,10,tiny,moderate,1,mixed_min_pressure,0.379145,network,1.2,0.379145,0.6840458333333332
n10_tiny_moderate_25g,10,tiny,moderate,25,mixed_min_pressure,0.28559,prefill,0.753225,0.28559,0.6208437054001128
n10_tiny_moderate_5g,10,tiny,moderate,5,mixed_min_pressure,0.379145,prefill,0.753225,0.379145,0.4966377908327525
n10_tiny_tight_100g,10,tiny,tight,100,mixed_min_pressure,0.1993488384,network,0.4377589248,0.1993488384,0.5446150218614572
n10_tiny_tight_1g,10,tiny,tight,1,mixed_min_pressure,1.2638166666666666,prefill,2.51075,1.2638166666666666,0.4966377908327525
n10_tiny_tight_25g,10,tiny,tight,25,mixed_min_pressure,0.63660490752,network,1.7510356992,0.63660490752,0.6364409316093057
n10_tiny_tight_5g,10,tiny,tight,5,mixed_min_pressure,1.1241333333333334,prefill,2.51075,1.1241333333333334,0.5522718975073848
