cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,policy,p50_resume_s,p90_resume_s,p95_resume_s,makespan_s,dominant_bottleneck
n10_swe_bench_moderate_100g,10,swe_bench,moderate,100,replay_all,0.753225,1.355805,1.4311275,1.50645,prefill
n10_swe_bench_moderate_100g,10,swe_bench,moderate,100,kv_all,0.438958925,0.790126065,0.834021957,0.87791785,network
n10_swe_bench_moderate_100g,10,swe_bench,moderate,100,workspace_sticky,0.425758925,0.766366065,0.808941957,0.85151785,network
n10_swe_bench_moderate_100g,10,swe_bench,moderate,100,random_diversification,0.294835,0.530703,0.5601865,0.58967,prefill
n10_swe_bench_moderate_100g,10,swe_bench,moderate,100,mixed_min_pressure,0.159151227,0.286472208,0.302387331,0.318302454,network
n10_swe_bench_tight_1g,10,swe_bench,tight,1,strong_reuse,2.51075,4.51935,4.770425,5.0215,prefill
n10_swe_bench_tight_1g,10,swe_bench,tight,1,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_swe_bench_tight_1g,10,swe_bench,tight,1,kv_all,43.8958925,79.0126065,83.4021957,87.791785,network
n10_swe_bench_tight_1g,10,swe_bench,tight,1,workspace_sticky,2.51075,4.51935,4.770425,5.0215,prefill
n10_swe_bench_tight_1g,10,swe_bench,tight,1,random_diversification,10.00947,18.0170459,19.0179929,20.0189399,network
n10_swe_bench_tight_1g,10,swe_bench,tight,1,mixed_min_pressure,1.26381667,2.27487,2.40125167,2.52763333,prefill
n10_swe_bench_tight_5g,10,swe_bench,tight,5,strong_reuse,2.51075,4.51935,4.770425,5.0215,prefill
n10_swe_bench_tight_5g,10,swe_bench,tight,5,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_swe_bench_tight_5g,10,swe_bench,tight,5,kv_all,8.7791785,15.8025213,16.6804391,17.558357,network
n10_swe_bench_tight_5g,10,swe_bench,tight,5,workspace_sticky,2.51075,4.51935,4.770425,5.0215,prefill
n10_swe_bench_tight_5g,10,swe_bench,tight,5,random_diversification,2.00189399,3.60340918,3.80359858,4.00378798,network
n10_swe_bench_tight_5g,10,swe_bench,tight,5,mixed_min_pressure,1.12413333,2.02344,2.13585333,2.24826667,prefill
n10_swe_bench_tight_25g,10,swe_bench,tight,25,strong_reuse,1.7558357,3.16050426,3.33608783,3.5116714,network
n10_swe_bench_tight_25g,10,swe_bench,tight,25,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_swe_bench_tight_25g,10,swe_bench,tight,25,kv_all,1.7558357,3.16050426,3.33608783,3.5116714,network
n10_swe_bench_tight_25g,10,swe_bench,tight,25,workspace_sticky,1.7030357,3.06546426,3.23576783,3.4060714,network
n10_swe_bench_tight_25g,10,swe_bench,tight,25,random_diversification,0.982783333,1.76901,1.86728833,1.96556667,prefill
n10_swe_bench_tight_25g,10,swe_bench,tight,25,mixed_min_pressure,0.636604908,1.14588883,1.20954932,1.27320982,network
n10_swe_bench_tight_100g,10,swe_bench,tight,100,strong_reuse,0.438958925,0.790126065,0.834021957,0.87791785,network
n10_swe_bench_tight_100g,10,swe_bench,tight,100,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_swe_bench_tight_100g,10,swe_bench,tight,100,kv_all,0.438958925,0.790126065,0.834021957,0.87791785,network
n10_swe_bench_tight_100g,10,swe_bench,tight,100,workspace_sticky,0.425758925,0.766366065,0.808941957,0.85151785,network
n10_swe_bench_tight_100g,10,swe_bench,tight,100,random_diversification,0.982783333,1.76901,1.86728833,1.96556667,prefill
n10_swe_bench_tight_100g,10,swe_bench,tight,100,mixed_min_pressure,0.199348838,0.358827909,0.378762793,0.398697677,network
n10_medium_loose_1g,10,medium,loose,1,strong_reuse,20,36,38,40,network
n10_medium_loose_1g,10,medium,loose,1,replay_all,20,36,38,40,network
n10_medium_loose_1g,10,medium,loose,1,kv_all,62.5758925,112.636606,118.894196,125.151785,network
n10_medium_loose_1g,10,medium,loose,1,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_loose_1g,10,medium,loose,1,random_diversification,17.48147,31.4666459,33.2147929,34.9629399,network
n10_medium_loose_1g,10,medium,loose,1,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_loose_5g,10,medium,loose,5,strong_reuse,4,7.2,7.6,8,network
n10_medium_loose_5g,10,medium,loose,5,replay_all,4,7.2,7.6,8,network
n10_medium_loose_5g,10,medium,loose,5,kv_all,12.5151785,22.5273213,23.7788391,25.030357,network
n10_medium_loose_5g,10,medium,loose,5,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_loose_5g,10,medium,loose,5,random_diversification,3.49629399,6.29332918,6.64295858,6.99258798,network
n10_medium_loose_5g,10,medium,loose,5,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_loose_25g,10,medium,loose,25,strong_reuse,2.5,4.5,4.75,5,workspace
