workload,load,wan_gbps,deadline_s,policy,minimum_qh_gap_fraction,median_qh_gap_fraction
measured_pack,0.25,1000,120,replay_only,-0.0016219964692336664,-0.0016219964692336664
measured_pack,0.25,1000,300,greedy,-0.010908760194182632,-0.010908760194182632
measured_pack,0.25,1000,300,isolated_fastest,-0.010908759194182327,-0.010908759194182327
measured_pack,0.25,1000,300,kv_only,0.8034351941587982,0.8034351941587982
measured_pack,0.25,1000,300,replay_only,-0.010908759194182327,-0.010908759194182327
measured_pack,0.25,1000,600,greedy,-0.0008264343173360889,-0.0008264343173360889
measured_pack,0.25,1000,600,isolated_fastest,-0.0008264333173357841,-0.0008264333173357841
measured_pack,0.25,1000,600,kv_only,0.6793552300467463,0.6793552300467463
measured_pack,0.25,1000,600,replay_only,-0.0008264333173357841,-0.0008264333173357841
measured_pack,0.25,1000,1800,greedy,-0.0010279728050257564,-0.0010279728050257564
measured_pack,0.25,1000,1800,isolated_fastest,-0.0010279718050254516,-0.0010279718050254516
measured_pack,0.25,1000,1800,kv_only,0.3652898402801964,0.3652898402801964
measured_pack,0.25,1000,1800,replay_only,-0.0010279718050254516,-0.0010279718050254516
measured_pack,0.25,1000,3600,greedy,-0.006934605861718124,-0.006934605861718124
measured_pack,0.25,1000,3600,isolated_fastest,-0.006934604861717819,-0.006934604861717819
measured_pack,0.25,1000,3600,kv_only,0.03950370858145558,0.03950370858145558
measured_pack,0.25,1000,3600,replay_only,-0.006934604861717819,-0.006934604861717819
measured_pack,0.5,reference,1,greedy,0.0,0.0
measured_pack,0.5,reference,1,isolated_fastest,0.0,0.0
measured_pack,0.5,reference,1,kv_only,0.0,0.0
measured_pack,0.5,reference,1,replay_only,0.0,0.0
measured_pack,0.5,reference,3,greedy,0.0,0.0
measured_pack,0.5,reference,3,isolated_fastest,0.0,0.0
measured_pack,0.5,reference,3,kv_only,0.0,0.0
measured_pack,0.5,reference,3,replay_only,0.0,0.0
measured_pack,0.5,reference,10,greedy,0.002719613987480274,0.020483011840057436
measured_pack,0.5,reference,10,isolated_fastest,-1.1657341758564144e-15,-1.1102230246251565e-15
