api_request_bytes,attempt,background,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_response_bytes,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,workload
380891,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,germany,,6442459648,,18.365130767,131072,8x16k,queue_haul,61.856632454374676,2,0,49.48530596349974,0,805b83aefa6586f3,8,complete,True,agentic_tool_loop
374711,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,germany,,6442459648,,17.48542614,131072,8x16k,greedy,61.856632454374676,2,0,49.48530596349974,0,f4078d2efcf6f025,8,complete,True,agentic_tool_loop
376542,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,"east,germany",,0,,20.228857822,131072,8x16k,replay_only,61.856632454374676,2,0,49.48530596349974,0,bbc4cd5dbc56c190,8,complete,True,agentic_tool_loop
374711,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,germany,,6442459648,,17.566048241,131072,8x16k,kv_only,61.856632454374676,2,0,49.48530596349974,0,db1260c867fa2717,8,complete,True,agentic_tool_loop
335178,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,germany,,5637152192,,16.682221132,131072,8x16k,queue_haul_power_blind,18.184090680191332,2,0,49.48530596349974,0,2acc46eeff865321,8,complete,False,agentic_tool_loop
382452,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,germany,,6442459648,,17.90347352,131072,8x16k,queue_haul,61.856632454374676,2,0,49.48530596349974,0,9d131d78b0e3b8e5,8,complete,True,agentic_tool_loop
428145,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,germany,,7247767104,,19.29334508,131072,8x16k,greedy,61.856632454374676,2,0,49.48530596349974,0,4adf818e3dcbfd29,8,complete,True,agentic_tool_loop
442318,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,"east,germany",,0,,24.322462106,131072,8x16k,replay_only,61.856632454374676,2,0,49.48530596349974,0,a7f337c1140f85e1,8,complete,True,agentic_tool_loop
379362,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,germany,,6442459648,,17.493627848,131072,8x16k,kv_only,61.856632454374676,2,0,49.48530596349974,0,4fbda0836d24684d,8,complete,True,agentic_tool_loop
336735,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,germany,,5637152192,,16.243788888,131072,8x16k,queue_haul_power_blind,18.184090680191332,2,0,49.48530596349974,0,124f37921f0dc109,8,complete,False,agentic_tool_loop
198142,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,3221229824,,11.804599381,65536,4x16k,queue_haul,61.85663245437466,2,0,49.485305963499734,0,b67425979360dd79,4,complete,True,agentic_tool_loop
198142,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,3221229824,,11.830637756,65536,4x16k,greedy,61.85663245437466,2,0,49.485305963499734,0,14fb7a9aab5e8812,4,complete,True,agentic_tool_loop
198302,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,0,,14.034083879,65536,4x16k,replay_only,61.85663245437466,2,0,49.485305963499734,0,b0567ab8c646ec13,4,complete,True,agentic_tool_loop
204314,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,3221229824,,12.320397599,65536,4x16k,kv_only,61.85663245437466,2,0,49.485305963499734,0,69b091983ef54c05,4,complete,True,agentic_tool_loop
204314,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,3221229824,,12.534489282,65536,4x16k,queue_haul_power_blind,61.85663245437466,2,0,49.485305963499734,0,b6c9df7f4ba52893,4,complete,True,agentic_tool_loop
