monotonic_ns,wall_ns,power_w,utilization_pct,memory_mib
5734834532394,1786471001313196245,140.87,100.0,89111.0
5734959297753,1786471001437961324,141.21,100.0,89111.0
5735084110073,1786471001562773634,141.38,100.0,89111.0
5735208658900,1786471001687322631,140.23,100.0,89111.0
5735333503690,1786471001812167121,141.03,100.0,89111.0
5735458183778,1786471001936847299,140.76,100.0,89111.0
5735583056358,1786471002061720089,138.2,100.0,89111.0
5735708258521,1786471002186922162,139.5,100.0,89111.0
5735832968249,1786471002311632030,139.22,100.0,89111.0
5735957879970,1786471002436543751,137.51,100.0,89111.0
5736082905892,1786471002561569473,137.08,100.0,89111.0
5736208115995,1786471002686779616,137.37,100.0,89111.0
5736332736033,1786471002811399994,137.45,100.0,89111.0
5736457386931,1786471002936050742,138.17,100.0,89111.0
5736581914038,1786471003060577719,138.03,100.0,89111.0
5736706754892,1786471003185418403,138.9,100.0,89111.0
5736831627707,1786471003310291438,138.38,100.0,89111.0
5736956191250,1786471003434854861,136.51,100.0,89111.0
5737080809139,1786471003559472870,136.63,100.0,89111.0
5737205404705,1786471003684068366,136.86,100.0,89111.0
5737330323844,1786471003808987675,136.12,100.0,89111.0
5737454972312,1786471003933635913,137.44,100.0,89111.0
5737579379917,1786471004058043598,138.45,100.0,89111.0
5737703914758,1786471004182578399,139.33,100.0,89111.0
5737828500799,1786471004307164370,138.09,100.0,89111.0
5737953338528,1786471004432002079,138.9,100.0,89111.0
5738078315108,1786471004556978849,139.41,100.0,89111.0
5738202970336,1786471004681633987,138.94,100.0,89111.0
5738327662893,1786471004806326534,139.26,100.0,89111.0
5738452449261,1786471004931112722,138.9,100.0,89111.0
5738577713354,1786471005056377065,138.85,100.0,89111.0
5738702640198,1786471005181304149,137.97,100.0,89111.0
5738827124749,1786471005305788460,137.69,100.0,89111.0
5738952098879,1786471005430762310,136.92,100.0,89111.0
5739077266271,1786471005555929992,136.92,100.0,89111.0
5739202231831,1786471005680895382,137.17,100.0,89111.0
5739327254752,1786471005805918573,137.34,100.0,89111.0
5739452418633,1786471005931082204,135.53,100.0,89111.0
5739577248722,1786471006055912703,136.18,100.0,89111.0
