scenario_id,match_id,condition,method,repeat,source_gpu,pre_window_power_w,post_window_power_w,pre_settle_gap_s,post_trace_after_switch_s,valid_settled_windows,measurement_kind,requested_shed_w,predicted_shed_w,measured_shed_w,predicted_percent,measured_percent
p-87d96dbf140fefc0,c6f4c7ec83e59040,large-fixed-2500mbps-19s,queue_haul_power_blind,102,0,324.91455973556,82.06678262068,0.004571472,2.823560372,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,242.84777711488,100.0,155.1741528967993
p-5b0adcede05b0f55,c6f4c7ec83e59040,large-fixed-2500mbps-19s,queue_haul_deadline_blind,102,0,196.23421368644003,82.20360767060001,0.224028209,2.832109773,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,114.03060601584002,100.0,72.86293868132114
p-1e58c55e7801f7d5,c6f4c7ec83e59040,large-fixed-2500mbps-19s,greedy,102,0,259.25565651273,82.15972157166,0.004318974,2.766453011,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,177.09593494107003,100.0,113.16023565225954
p-fd1ae5b9cfc5e77a,c6f4c7ec83e59040,large-fixed-2500mbps-19s,queue_haul,102,0,287.74406836769,83.1694396046,0.004887068,2.750511688,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,204.57462876308998,100.0,130.71848999248917
p-381e17adb3adbf2c,c6f4c7ec83e59040,large-fixed-2500mbps-19s,isolated_fastest,102,0,212.11144368990003,83.07950855924001,0.306316203,2.791236138,False,warmup_contaminated_immediate_pre,156.50014682302742,98.31926724347665,129.03193513066003,62.82375399599942,82.44844349991004
p-f8760d7d050102fe,be8ab85b533f031b,medium-fixed-5000mbps-19s,greedy,60,0,235.64569666335998,82.02795685264,0.108827187,2.888160253,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,153.61773981071997,100.0,98.15820810981927
p-8d4e408b41fe2064,be8ab85b533f031b,medium-fixed-5000mbps-19s,queue_haul,60,0,178.04058606801001,82.03854489864,0.215628173,2.922743752,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,96.00204116937002,100.0,61.343099746692566
p-7501bec972a9a090,be8ab85b533f031b,medium-fixed-5000mbps-19s,queue_haul_power_blind,60,0,225.88187744312998,82.23024057173,0.112613918,2.92469253,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,143.6516368714,100.0,91.79009719003223
p-58d950532a4b62db,be8ab85b533f031b,medium-fixed-5000mbps-19s,queue_haul_deadline_blind,60,0,247.28326423874998,82.37,0.155269404,2.877863076,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,164.91326423874997,100.0,105.37578883247708
p-48bef6b8839c821b,be8ab85b533f031b,medium-fixed-5000mbps-19s,isolated_fastest,60,0,232.0844673316,82.11158231069,0.194831612,2.923065925,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,149.97288502090998,100.0,95.82922959842423
p-5e75db497ba77a07,78c13e8571c566d1,large-fixed-5000mbps-19s,queue_haul_deadline_blind,110,0,288.02115170458,82.19283307017001,0.004597583,5.888768171,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,205.82831863440998,100.0,131.51956903092466
p-d17a18b1fc882710,78c13e8571c566d1,large-fixed-5000mbps-19s,queue_haul_power_blind,110,0,300.67975793603006,82.04,0.004412905,5.297588053,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,218.63975793603004,100.0,139.7057845468164
p-25d567a1dc9770db,78c13e8571c566d1,large-fixed-5000mbps-19s,queue_haul,110,0,246.67633092775,82.12148774942001,0.003975804,4.862365548,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,164.55484317832997,100.0,105.14676600553668
p-b7445c3438c0e859,78c13e8571c566d1,large-fixed-5000mbps-19s,isolated_fastest,110,0,269.20861398507003,82.31045919911999,0.010115296,6.276445737,False,warmup_contaminated_immediate_pre,156.50014682302742,98.31926724347665,186.89815478595006,62.82375399599942,119.42362903805908
p-34b22e24869b3da8,78c13e8571c566d1,large-fixed-5000mbps-19s,greedy,110,0,257.94210581849,82.18519834444,0.004194257,2.778667106,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,175.75690747405002,100.0,112.30462784983736
p-5a3dabb416bb6708,43c773ce3a5aa47a,small-fixed-5000mbps-19s,queue_haul,36,0,178.00571747269,81.90277023361999,0.111696077,2.715720694,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,96.10294723907002,100.0,61.40757640805576
p-6ea5b00527cca1e4,43c773ce3a5aa47a,small-fixed-5000mbps-19s,queue_haul_deadline_blind,36,0,181.93114697179,83.80945563712001,0.105728817,2.728624553,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,98.12169133467,100.0,62.6975075273427
p-2cc83d58a8687eb7,43c773ce3a5aa47a,small-fixed-5000mbps-19s,isolated_fastest,36,0,226.22312165702,83.36355917856001,0.108112453,2.766329409,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,142.85956247845996,100.0,91.28397984188959
p-e6e7c4e39028bbd4,43c773ce3a5aa47a,small-fixed-5000mbps-19s,queue_haul_power_blind,36,0,163.97869648807998,83.65206765993,0.087257364,2.759214221,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,80.32662882814998,100.0,51.32687122586822
p-67b9257f5f066198,43c773ce3a5aa47a,small-fixed-5000mbps-19s,greedy,36,0,174.52955954196,81.77767297906999,0.082153816,2.773984511,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,92.75188656289001,100.0,59.26632558867511
p-edb801b653b1955a,c766c8b3e6b695e4,large-fixed-10000mbps-19s,isolated_fastest,116,0,294.52411600416,81.72334295357001,0.004367095,5.798517282,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,212.80077305059,100.0,135.9748072896239
p-84892b48b057fabd,c766c8b3e6b695e4,large-fixed-10000mbps-19s,greedy,116,0,279.72848296505,82.37,0.00503087,6.110320617,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,197.35848296504997,100.0,126.10753853683329
p-d5fa205d38e83d73,c766c8b3e6b695e4,large-fixed-10000mbps-19s,queue_haul_deadline_blind,116,0,224.41559051797003,82.83494483954,0.004721352,5.581021544,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,141.58064567843002,100.0,90.46678137531168
