activity,bandwidth_mbps,catch_up_end_ns,catch_up_s,catch_up_start_ns,concurrency,context_size,idle_ns,initial_copy_s,initial_end_ns,initial_start_ns,job_class,logical_kv_bytes,logical_kv_chunks,match_id,method,order,pause_start_ns,processed_tokens,repeat,request_wait_s,route_switch_s,scenario_id,service_pause_s,session_id,success,switch_end_ns,switch_start_ns
none,10000.0,,0.0,,2,16384,5564485299377847,10.696211146,5564485289026852,5564474592815706,coding,0,0,b37e83271c40ba30,replay,1,5564485289027362,18192,0,0.010350485,0.005246272,m-b37e83271c40ba30,0.015597297,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5564485304624659,5564485299378387
none,10000.0,,0.0,,2,16384,5564496698650180,11.387513213,5564496697398863,5564485309885650,coding,0,0,b37e83271c40ba30,replay,2,5564496697399133,14571,0,0.001251047,0.000105358,m-b37e83271c40ba30,0.001357585,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5564496698756718,5564496698651360
none,10000.0,,0.0,,2,16384,5564494819807930,9.284878092,5564494813672809,5564485528794717,coding,0,0,b37e83271c40ba30,replay,3,5564494813673289,17568,0,0.006134641,0.005831255,m-b37e83271c40ba30,0.011966666,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5564494825639955,5564494819808700
one_turn,10000.0,5564525202417079,2.936496385,5564522265920694,1,2048,5564522265920264,4.452731464,5564522265649177,5564517812917713,coding,1420836864,113,a1362bb8e61fa905,kv_transfer,0,5564522265649457,270,1,0.000270807,0.001082048,m-a1362bb8e61fa905,2.93784978,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5564525203499237,5564525202417189
one_turn,10000.0,5564531889398623,2.816017754,5564529073380869,1,2048,5564529073380689,3.869593535,5564529073226601,5564525203633066,coding,1258536960,101,a1362bb8e61fa905,kv_transfer,1,5564529073226781,36,1,0.000153908,0.000192357,m-a1362bb8e61fa905,2.816364379,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5564531889591160,5564531889398803
one_turn,10000.0,5564539494524046,2.819929114,5564536674594932,1,2048,5564536674594682,4.784731574,5564536674463923,5564531889732349,coding,1338114048,107,a1362bb8e61fa905,kv_transfer,2,5564536674464073,119,1,0.000130609,0.000126029,m-a1362bb8e61fa905,2.820186112,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5564539494650185,5564539494524156
one_turn,10000.0,5564547231642209,2.953674656,5564544277967553,1,2048,5564544277967363,4.78311469,5564544277845754,5564539494731064,coding,334282752,27,a1362bb8e61fa905,kv_transfer,3,5564544277845914,180,1,0.000121449,7.9949e-05,m-a1362bb8e61fa905,2.953876404,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5564547231722318,5564547231642369
none,250.0,,0.0,,2,2048,5564689044716258,26.810710708,5564689034441408,5564662223730700,coding,170704896,14,c789ed06df63ded7,kv_transfer,0,5564689034441878,0,0,0.01027438,0.010195172,m-c789ed06df63ded7,0.020469972,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5564689054911850,5564689044716678
none,250.0,,0.0,,2,2048,5564690533065494,28.307341875,5564690532063184,5564662224721309,coding,542982144,44,c789ed06df63ded7,kv_transfer,1,5564690532063454,0,0,0.00100204,7.0939e-05,m-c789ed06df63ded7,0.001073349,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5564690533136803,5564690533065864
none,250.0,,0.0,,2,2048,5564742054960497,52.989517109,5564742054791278,5564689065274169,coding,716193792,57,c789ed06df63ded7,kv_transfer,2,5564742054791488,0,0,0.000169009,0.000103219,m-c789ed06df63ded7,0.000272498,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5564742055063986,5564742054960767
none,250.0,,0.0,,2,2048,5564741245578294,50.691125312,5564741224467053,5564690533341741,coding,780386304,63,c789ed06df63ded7,kv_transfer,3,5564741224467173,0,0,0.021111121,0.005167896,m-c789ed06df63ded7,0.026279317,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5564741250746490,5564741245578594
none,250.0,,0.0,,1,8192,5564775246022559,4.365575936,5564775245601293,5564770880025357,coding,0,0,5cbaf43886eca141,replay,0,5564775245601793,13656,1,0.000420766,9.4329e-05,m-5cbaf43886eca141,0.000515505,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5564775246117298,5564775246022969
none,250.0,,0.0,,1,8192,5564780288272483,5.04171452,5564780287991756,5564775246277236,coding,0,0,5cbaf43886eca141,replay,1,5564780287991956,15877,1,0.000280527,9.7739e-05,m-5cbaf43886eca141,0.000378656,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5564780288370612,5564780288272873
none,250.0,,0.0,,1,8192,5564785348402203,5.058985172,5564785348272674,5564780289287502,coding,0,0,5cbaf43886eca141,replay,2,5564785348272934,11047,1,0.000129269,7.2519e-05,m-5cbaf43886eca141,0.000202158,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5564785348475092,5564785348402573
none,250.0,,0.0,,1,8192,5564793279689333,7.930494929,5564793279165509,5564785348670580,coding,0,0,5cbaf43886eca141,replay,3,5564793279165679,21546,1,0.000523654,0.000140698,m-5cbaf43886eca141,0.000665152,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5564793279830831,5564793279690133
one_turn,10000.0,5564823423276793,2.401065939,5564821022210854,1,2048,5564821022210604,4.085896727,5564821021923847,5564816936027120,coding,1540227072,123,c6a863e574fa121a,kv_transfer,0,5564821021924027,138,2,0.000286577,0.000222828,m-c6a863e574fa121a,2.401575704,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5564823423499731,5564823423276903
one_turn,10000.0,5564830335157853,2.778447151,5564827556710702,1,2048,5564827556710402,4.132931754,5564827556562213,5564823423630459,coding,1258536960,101,c6a863e574fa121a,kv_transfer,1,5564827556562313,36,2,0.000148089,0.000180208,m-c6a863e574fa121a,2.778775948,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5564830335338261,5564830335158053
one_turn,10000.0,5564837112982569,2.912688836,5564834200293733,1,2048,5564834200293553,3.864623684,5564834200129554,5564830335505870,coding,1560526848,125,c6a863e574fa121a,kv_transfer,2,5564834200129644,40,2,0.000163909,0.001006259,m-c6a863e574fa121a,2.913859294,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5564837113988938,5564837112982679
one_turn,10000.0,5564845204073597,2.880298432,5564842323775165,1,2048,5564842323774465,5.006113801,5564842120208538,5564837114094737,coding,334282752,27,c6a863e574fa121a,kv_transfer,3,5564842120208888,180,2,0.203565577,0.000136478,m-c6a863e574fa121a,3.084001377,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5564845204210265,5564845204073787
one_turn,250.0,5564938083683738,5.898175529,5564932185508209,2,8192,5564932185507919,60.395127976,5564932180229636,5564871785101660,coding,2115993600,169,a7fd00161dd92a09,kv_transfer,0,5564932180229846,73,2,0.005278073,0.117519555,m-a7fd00161dd92a09,6.020973587,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5564938201203433,5564938083683878
one_turn,250.0,5564938911401013,5.40532989,5564933506071123,2,8192,5564933506070913,61.720031942,5564933505840065,5564871785808123,coding,1420836864,113,a7fd00161dd92a09,kv_transfer,1,5564933505840205,270,2,0.000230708,0.001308536,m-a7fd00161dd92a09,5.406869514,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5564938912709719,5564938911401183
one_turn,250.0,5564985347518134,4.617059377,5564980730458757,2,8192,5564980730458447,42.518707079,5564980725208904,5564938206501825,coding,1193607168,95,a7fd00161dd92a09,kv_transfer,2,5564980725209194,255,2,0.005249253,0.005796077,m-a7fd00161dd92a09,4.628105227,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5564985353314421,5564985347518344
one_turn,250.0,5564986275152014,4.973071023,5564981302080991,2,8192,5564981302080781,42.389097006,5564981301930463,5564938912833457,coding,1084047360,87,a7fd00161dd92a09,kv_transfer,3,5564981301930623,74,2,0.000150158,9.7939e-05,m-a7fd00161dd92a09,4.97331943,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5564986275250053,5564986275152114
one_turn,10000.0,5565087556695076,6.140599766,5565081416095310,2,2048,5565081416095050,10.74621454,5565081414973742,5565070668759202,coding,0,0,dc5fd655b77a3f8e,replay,0,5565081414973922,25641,1,0.001121128,0.000133268,m-dc5fd655b77a3f8e,6.141854542,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5565087556828464,5565087556695196
one_turn,10000.0,5565086943880952,6.197790229,5565080746090723,2,2048,5565080746090463,10.065857187,5565080735705797,5565070669848610,coding,0,0,dc5fd655b77a3f8e,replay,1,5565080735705897,27343,1,0.010384566,0.0055362,m-dc5fd655b77a3f8e,6.213711745,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5565086949417642,5565086943881442
one_turn,10000.0,5565106830131181,5.587255291,5565101242875890,2,2048,5565101242875300,14.277538862,5565101237361580,5565086959822718,coding,0,0,dc5fd655b77a3f8e,replay,2,5565101237362220,43123,1,0.00551308,0.000454155,m-dc5fd655b77a3f8e,5.593223216,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5565106830585436,5565106830131281
one_turn,10000.0,5565104608606104,5.25295016,5565099355655944,2,2048,5565099355655434,11.789520282,5565099346532734,5565087557012452,coding,0,0,dc5fd655b77a3f8e,replay,3,5565099346532954,31474,1,0.00912248,0.000159409,m-dc5fd655b77a3f8e,5.262232729,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5565104608765683,5565104608606274
none,10000.0,,0.0,,4,16384,5565155075644089,20.803865734,5565154984531191,5565134180665457,coding,0,0,0207091b1a99a38f,replay,0,5565154984531331,18192,2,0.091112758,0.02621406,m-0207091b1a99a38f,0.117328408,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5565155101859739,5565155075645679
none,10000.0,,0.0,,4,16384,5565155467133922,21.279156918,5565155461754973,5565134182598055,coding,0,0,0207091b1a99a38f,replay,1,5565155461755183,19908,2,0.005378739,0.005371258,m-0207091b1a99a38f,0.010751167,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5565155472506350,5565155467135092
none,10000.0,,0.0,,4,16384,5565156058542358,21.874651228,5565156058359810,5565134183708582,coding,0,0,0207091b1a99a38f,replay,2,5565156058360200,14571,2,0.000182158,8.6379e-05,m-0207091b1a99a38f,0.000269287,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5565156058629487,5565156058543108
